Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,KAN 30,0,0,Patrick Mahomes pass complete short left to Travis Kelce for -1 yards (tackle by Nate Hobbs and Jakorian Bennett),0.940,0.260
1,14:30,2,11,KAN 29,0,0,Kareem Hunt right guard for 4 yards (tackle by Divine Deablo and K'Lavon Chaisson),0.260,0.100
1,13:52,3,7,KAN 33,0,0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 13 yards (tackle by Nate Hobbs),0.100,1.990
1,13:14,1,10,KAN 46,0,0,Patrick Mahomes pass complete deep left to Travis Kelce for 25 yards (tackle by Divine Deablo),1.990,3.640
1,12:36,1,10,LVR 29,0,0,Kareem Hunt up the middle for 5 yards (tackle by John Jenkins),3.640,3.780
1,11:53,2,5,LVR 24,0,0,Kareem Hunt left guard for no gain (tackle by K'Lavon Chaisson),3.780,3.070
1,11:16,3,5,LVR 24,0,0,Patrick Mahomes pass complete short right to Samaje Perine for 21 yards (tackle by Robert Spillane and Tre'von Moehrig),3.070,6.510
1,10:32,1,3,LVR 3,0,0,Kareem Hunt right guard for 2 yards (tackle by Robert Spillane and Jonah Laulu),6.510,5.910
1,10:08,2,1,LVR 1,6,0,Kareem Hunt right guard for 1 yard touchdown,5.910,7.000
1,10:02,,,LVR 15,7,0,Harrison Butker kicks extra point good,0.000,0.000
1,10:02,,,KAN 35,7,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,10:02,1,10,LVR 30,7,0,Penalty on Kolton Miller: False Start 5 yards (accepted) (no play),0.940,0.610
1,10:02,1,15,LVR 25,7,0,Alexander Mattison right guard for 3 yards (tackle by Leo Chenal),0.610,0.120
1,9:27,2,12,LVR 28,7,0,Gardner Minshew pass complete short right to Alexander Mattison for 7 yards (tackle by Drue Tranquill and Trent McDuffie),0.120,0.370
1,8:41,3,5,LVR 35,7,0,Gardner Minshew pass complete short left to Jakobi Meyers for 11 yards (tackle by Nick Bolton),0.370,1.990
1,7:58,1,10,LVR 46,7,0,DJ Turner right end for 4 yards (tackle by Nick Bolton),1.990,1.990
1,7:23,2,6,LVR 50,7,0,Gardner Minshew pass complete short left to Tre Tucker for 20 yards (tackle by Bryan Cook),1.990,3.580
1,6:46,1,10,KAN 30,7,0,Alexander Mattison left guard for 2 yards (tackle by Nick Bolton),3.580,3.300
1,6:07,2,8,KAN 28,7,0,Alexander Mattison up the middle for 1 yard (tackle by Tershawn Wharton and Drue Tranquill),3.300,2.740
1,5:25,3,7,KAN 27,7,0,Gardner Minshew pass complete short left to Brock Bowers for 8 yards (tackle by Bryan Cook),2.740,4.310
1,4:48,1,10,KAN 19,7,0,Tre Tucker left end for 7 yards (tackle by Nazeeh Johnson and Malik Herring),4.310,4.920
1,4:06,2,3,KAN 12,7,0,Alexander Mattison right end for 3 yards (tackle by Nazeeh Johnson),4.920,5.140
1,3:21,1,9,KAN 9,7,0,Zamir White left guard for 2 yards (tackle by Nazeeh Johnson),5.140,4.760
1,2:42,2,7,KAN 7,7,6,Gardner Minshew pass complete short left to Jakobi Meyers for 7 yards touchdown,4.760,7.000
1,2:39,,,KAN 15,7,7,Daniel Carlson kicks extra point good,0.000,0.000
1,2:39,,,LVR 35,7,7,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,2:39,1,10,KAN 30,7,7,Patrick Mahomes pass incomplete deep middle intended for Xavier Worthy,0.940,0.390
1,2:34,2,10,KAN 30,7,7,Patrick Mahomes pass complete short middle to Justin Watson for 19 yards (tackle by Divine Deablo),0.390,2.190
1,2:00,1,10,KAN 49,7,7,Kareem Hunt left guard for 5 yards (tackle by Tre'von Moehrig and John Jenkins),2.190,2.320
1,1:22,2,5,LVR 46,7,7,Patrick Mahomes pass incomplete deep left intended for DeAndre Hopkins,2.320,1.620
1,1:19,3,5,LVR 46,7,7,Patrick Mahomes sacked by Tyree Wilson for -10 yards. Penalty on Wanya Morris: Illegal Use of Hands / Offense 5 yards (declined),1.620,-0.460
1,1:05,4,15,KAN 44,7,7,Matt Araiza punts 42 yards fair catch by DJ Turner at LV-14,-0.460,0.280
1,0:59,1,10,LVR 14,7,7,Alexander Mattison right guard for 3 yards (tackle by Leo Chenal and Nazeeh Johnson),-0.280,-0.370
1,0:23,2,7,LVR 17,7,7,Gardner Minshew pass complete deep right to Brock Bowers for 19 yards (tackle by Trent McDuffie),-0.370,1.330
2,15:00,1,10,LVR 36,7,7,Gardner Minshew sacked by Drue Tranquill for -3 yards,1.330,0.390
2,14:22,2,13,LVR 33,7,7,Alexander Mattison up the middle for 4 yards (tackle by Chamarri Conner and Felix Anudike-Uzomah),0.390,0.230
2,13:44,3,9,LVR 37,7,7,Gardner Minshew pass complete short left to Alexander Mattison for no gain (tackle by Trent McDuffie and Nick Bolton). Penalty on Kolton Miller: Offensive Holding 10 yards (offset) . Penalty on Trent McDuffie: Illegal Contact 5 yards (offset) (no play),0.230,0.230
2,13:14,3,9,LVR 37,7,7,Gardner Minshew pass complete short right to Brock Bowers for 12 yards (tackle by Chamarri Conner and Nazeeh Johnson),0.230,2.190
2,12:34,1,10,LVR 49,7,7,Gardner Minshew pass complete short left to Jakobi Meyers for 17 yards (tackle by Nick Bolton),2.190,3.310
2,11:50,1,10,KAN 34,7,7,Alexander Mattison up the middle for 1 yard (tackle by Chris Jones and Joshua Williams),3.310,2.910
2,11:06,2,9,KAN 33,7,7,Zamir White right tackle for -3 yards (tackle by Malik Herring),2.910,1.820
2,10:21,3,12,KAN 36,7,7,Gardner Minshew pass incomplete short left intended for Jakobi Meyers (defended by George Karlaftis),1.820,0.880
2,10:18,4,12,KAN 36,7,10,Daniel Carlson 54 yard field goal good,0.880,3.000
2,10:13,,,LVR 35,7,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,10:13,1,10,KAN 30,7,10,Kareem Hunt left end for 3 yards (tackle by Tre'von Moehrig and Robert Spillane),0.940,0.800
2,9:40,,,,,,Timeout #1 by Las Vegas Raiders,,
2,9:40,2,7,KAN 33,7,10,Patrick Mahomes pass complete short left to Xavier Worthy for 5 yards (tackle by K'Lavon Chaisson),0.800,0.760
2,8:59,3,2,KAN 38,7,10,Patrick Mahomes pass complete short left to Xavier Worthy for 7 yards (tackle by Jakorian Bennett),0.760,1.930
2,8:18,1,10,KAN 45,7,10,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Jakorian Bennett),1.930,2.460
2,7:40,2,2,LVR 47,7,10,Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by Robert Spillane),2.460,3.180
2,7:02,1,10,LVR 36,7,10,Kareem Hunt right guard for 1 yard (tackle by John Jenkins and Charles Snowden),3.180,2.770
2,6:27,2,9,LVR 35,7,10,Patrick Mahomes pass complete short middle to Noah Gray for no gain (tackle by Divine Deablo). Penalty on Jody Fortson: Offensive Offside 5 yards (accepted) (no play),2.770,2.100
2,6:00,2,14,LVR 40,7,10,Patrick Mahomes pass complete short right to Carson Steele for 8 yards (tackle by Jack Jones),2.100,2.480
2,5:16,3,6,LVR 32,7,10,Patrick Mahomes pass complete short left to Noah Gray for 10 yards (tackle by Divine Deablo and Jakorian Bennett),2.480,4.110
2,4:29,,,,,,Timeout #1 by Kansas City Chiefs,,
2,4:29,1,10,LVR 22,7,10,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Maxx Crosby and Robert Spillane),4.110,4.850
2,3:48,2,2,LVR 14,7,10,Patrick Mahomes pass complete short right to Kareem Hunt for 4 yards (tackle by Jack Jones),4.850,4.910
2,3:13,1,10,LVR 10,7,10,Kareem Hunt up the middle for 5 yards (tackle by Maxx Crosby),4.910,5.150
2,2:37,2,5,LVR 5,7,10,Kareem Hunt left guard for no gain (tackle by Adam Butler and Charles Snowden),5.150,4.260
2,2:00,,,,,,Timeout #2 by Las Vegas Raiders,,
2,2:00,3,5,LVR 5,13,10,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards touchdown,4.260,7.000
2,1:57,,,LVR 15,14,10,Harrison Butker kicks extra point good,0.000,0.000
2,1:57,,,KAN 35,14,10,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,1:57,1,10,LVR 30,14,10,Gardner Minshew pass complete short middle to Jakobi Meyers for no gain (tackle by Chris Jones),0.940,0.390
2,1:16,2,10,LVR 30,14,10,Ameer Abdullah left guard for 2 yards (tackle by Felix Anudike-Uzomah and George Karlaftis),0.390,-0.030
2,1:11,,,,,,Timeout #2 by Kansas City Chiefs,,
2,1:11,3,8,LVR 32,14,10,Gardner Minshew pass incomplete short right,-0.030,-1.240
2,1:06,4,8,LVR 32,14,10,AJ Cole punts 68 yards touchback.,-1.240,-0.280
2,0:58,1,10,KAN 20,14,10,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Jack Jones),0.280,0.140
2,0:53,2,7,KAN 23,14,10,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,0.140,-0.560
2,0:48,3,7,KAN 23,14,10,Patrick Mahomes pass complete short left to Samaje Perine for 9 yards (tackle by Nate Hobbs and Tre'von Moehrig),-0.560,1.070
2,0:41,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:41,1,10,KAN 32,14,10,Patrick Mahomes pass complete short left to Travis Kelce for 12 yards. Travis Kelce fumbles recovered by Samaje Perine at KC-37 and returned for 7 yards (tackle by Robert Spillane and Jakorian Bennett),1.070,1.860
2,0:32,1,10,KAN 44,14,10,Patrick Mahomes pass incomplete short middle,1.860,1.320
2,0:28,2,10,KAN 44,14,10,Patrick Mahomes pass complete deep right to Xavier Worthy for 16 yards (tackle by Jakorian Bennett),1.320,2.920
2,0:13,1,10,LVR 40,14,10,Patrick Mahomes spiked the ball,2.920,2.370
2,0:12,2,10,LVR 40,14,10,Patrick Mahomes pass complete deep right to DeAndre Hopkins for 16 yards,2.370,3.970
2,0:08,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:08,1,10,LVR 24,17,10,Harrison Butker 42 yard field goal good,3.970,3.000
2,0:04,,,KAN 35,17,10,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,LVR 30,17,10,Gardner Minshew kneels for -1 yards,0.940,0.260
3,15:00,,,KAN 35,17,10,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LVR 30,17,10,Alexander Mattison right tackle for 1 yard (tackle by Felix Anudike-Uzomah),0.940,0.530
3,14:24,2,9,LVR 31,17,10,Gardner Minshew pass complete short left to DJ Turner for no gain (tackle by Justin Reid),0.530,-0.160
3,13:44,3,9,LVR 31,17,10,Gardner Minshew pass incomplete deep left intended for Tre Tucker,-0.160,-1.310
3,13:39,4,9,LVR 31,17,10,AJ Cole punts 60 yards returned by Mecole Hardman for 6 yards (tackle by Tommy Eichenberg and Amari Gainer). Penalty on Jaden Hicks: Defensive Illegal Blindside Block 7 yards (accepted),-1.310,0.380
3,13:25,1,10,KAN 8,17,10,Kareem Hunt up the middle for 1 yard (tackle by Maxx Crosby and Tyree Wilson),-0.380,-0.710
3,12:52,2,9,KAN 9,17,10,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,-0.710,-1.300
3,12:49,3,9,KAN 9,17,10,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Jack Jones),-1.300,-2.490
3,12:43,4,9,KAN 9,17,10,Matt Araiza punts 51 yards returned by DJ Turner for 17 yards (tackle by Joshua Williams). Penalty on Joshua Williams: Unnecessary Roughness / Offense 15 yards (accepted),-2.490,-3.710
3,12:31,1,10,KAN 28,17,10,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards,3.710,3.980
3,11:51,2,4,KAN 22,17,10,Penalty on Jackson Powers-Johnson: False Start 5 yards (accepted) (no play),3.980,3.300
3,11:35,2,9,KAN 27,17,10,Gardner Minshew scrambles right end for 7 yards (tackle by Leo Chenal),3.300,3.530
3,10:48,3,2,KAN 20,17,10,Penalty on Jackson Powers-Johnson: False Start 5 yards (accepted) (no play),3.530,2.870
3,10:18,3,7,KAN 25,17,10,Gardner Minshew pass complete short right to Alexander Mattison for 4 yards (tackle by Chamarri Conner). Penalty on Joshua Williams: Defensive Holding 5 yards (accepted),2.870,4.510
3,10:10,1,10,KAN 16,17,10,Alexander Mattison right guard for -4 yards (tackle by Chris Jones),4.510,3.420
3,9:34,2,14,KAN 20,17,10,Alexander Mattison right guard for 5 yards (tackle by Felix Anudike-Uzomah),3.420,3.220
3,8:58,3,9,KAN 15,17,10,Gardner Minshew pass complete short left to Jakobi Meyers for 11 yards (tackle by Christian Roland-Wallace),3.220,6.280
3,8:16,1,4,KAN 4,17,10,Alexander Mattison up the middle for -4 yards (tackle by Drue Tranquill),6.280,4.570
3,7:36,2,8,KAN 8,17,10,Gardner Minshew pass complete short right to Alexander Mattison for no gain (tackle by Justin Reid),4.570,3.580
3,6:57,3,8,KAN 8,17,10,Gardner Minshew sacked by George Karlaftis for -6 yards. Penalty on Delmar Glaze: Illegal Formation 5 yards (declined),3.580,2.510
3,6:44,4,14,KAN 14,17,13,Daniel Carlson 32 yard field goal good,2.510,3.000
3,6:40,,,LVR 35,17,13,Daniel Carlson kicks off 64 yards returned by Montrell Washington for 14 yards (tackle by Alex Bachman). Penalty on Jaden Hicks: Illegal Block Above the Waist 7 yards (accepted),0.000,-0.380
3,6:32,1,10,KAN 8,17,13,Patrick Mahomes pass complete short right to Xavier Worthy for no gain (tackle by Jack Jones). Penalty on Wanya Morris: Offensive Holding 4 yards (accepted) (no play),-0.380,-0.530
3,6:16,1,14,KAN 4,17,13,Kareem Hunt right guard for no gain (tackle by Maxx Crosby). Penalty on Wanya Morris: Offensive Holding 2 yards (accepted) (no play),-0.530,-0.610
3,5:49,1,16,KAN 2,17,13,Patrick Mahomes pass short middle (defended by John Jenkins) intended for Travis Kelce is intercepted by Tre'von Moehrig at KC-15 and returned for 12 yards (tackle by Joe Thuney),-0.610,-6.510
3,5:39,1,3,KAN 3,17,13,Alexander Mattison up the middle for 2 yards (tackle by George Karlaftis and Drue Tranquill),6.510,5.910
3,5:03,2,1,KAN 1,17,13,Alexander Mattison up the middle for no gain (tackle by George Karlaftis and Nick Bolton),5.910,5.170
3,4:17,3,1,KAN 1,17,13,Alexander Mattison right tackle for -2 yards (tackle by Drue Tranquill and Nick Bolton),5.170,3.040
3,3:32,4,3,KAN 3,17,13,Gardner Minshew sacked by Tershawn Wharton for -5 yards,3.040,0.380
3,3:27,1,10,KAN 8,17,13,Kareem Hunt right guard for 5 yards (tackle by Robert Spillane),-0.380,-0.410
3,3:00,2,5,KAN 13,17,13,Kareem Hunt up the middle for 4 yards (tackle by Robert Spillane),-0.410,-0.370
3,2:19,3,1,KAN 17,17,13,Patrick Mahomes scrambles right end for 3 yards (tackle by Charles Snowden),-0.370,0.280
3,1:44,1,10,KAN 20,17,13,Carson Steele up the middle for 4 yards (tackle by K'Lavon Chaisson and Adam Butler),0.280,0.270
3,1:07,2,6,KAN 24,17,13,Carson Steele right guard for 2 yards (tackle by Divine Deablo),0.270,-0.160
3,0:29,3,4,KAN 26,17,13,Patrick Mahomes pass complete short left to Noah Gray for 10 yards (tackle by Tre'von Moehrig),-0.160,1.330
4,15:00,1,10,KAN 36,17,13,Patrick Mahomes scrambles right end for 3 yards (tackle by Janarius Robinson),1.330,1.200
4,14:25,2,7,KAN 39,17,13,Kareem Hunt left guard for 7 yards (tackle by Tre'von Moehrig and Nate Hobbs),1.200,1.990
4,13:47,1,10,KAN 46,17,13,Kareem Hunt left tackle for 1 yard (tackle by Divine Deablo). Penalty on Wanya Morris: Offensive Holding 10 yards (accepted) (no play),1.990,1.330
4,13:31,1,20,KAN 36,17,13,Patrick Mahomes pass incomplete short left,1.330,0.100
4,13:27,2,20,KAN 36,17,13,Patrick Mahomes pass complete short right to Mecole Hardman for 8 yards (tackle by Tre'von Moehrig),0.100,0.500
4,12:44,3,12,KAN 44,17,13,Patrick Mahomes scrambles left end for 14 yards (tackle by Isaiah Pola-Mao),0.500,2.790
4,11:59,1,10,LVR 42,17,13,Kareem Hunt left guard for 2 yards (tackle by Matthew Butler),2.790,2.510
4,11:25,2,8,LVR 40,17,13,Kareem Hunt up the middle for 4 yards (tackle by Tre'von Moehrig),2.510,2.340
4,10:46,3,4,LVR 36,17,13,Patrick Mahomes pass complete short middle to Travis Kelce for 16 yards (tackle by Tre'von Moehrig and Divine Deablo),2.340,4.240
4,10:04,1,10,LVR 20,17,13,Patrick Mahomes pass complete short right to Justin Watson for 6 yards (tackle by Robert Spillane). Penalty on K'Lavon Chaisson: Roughing the Passer 7 yards (accepted),4.240,5.600
4,9:34,1,7,LVR 7,17,13,Patrick Mahomes pass incomplete short middle intended for Jody Fortson,5.600,4.760
4,9:30,2,7,LVR 7,17,13,Patrick Mahomes pass complete short middle to Travis Kelce for 2 yards (tackle by Tyree Wilson),4.760,4.260
4,8:52,3,5,LVR 5,17,13,Patrick Mahomes pass incomplete short left intended for Xavier Worthy (defended by Nate Hobbs),4.260,3.010
4,8:48,4,5,LVR 5,20,13,Harrison Butker 24 yard field goal good,3.010,3.000
4,8:44,,,KAN 35,20,13,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
