Quarter,Time,Down,ToGo,Location,MIN,LAR,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Vikings to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,MIN 30,0,0,Aaron Jones up the middle for 5 yards (tackle by Kamren Curl and Kobie Turner),0.940,1.070
1,14:24,2,5,MIN 35,0,0,Sam Darnold pass complete short left to Justin Jefferson for 10 yards (tackle by Darious Williams),1.070,1.930
1,13:52,1,10,MIN 45,0,0,Aaron Jones right end for 9 yards (tackle by Cobie Durant),1.930,2.600
1,13:27,2,1,LAR 46,0,0,Aaron Jones right guard for 4 yards (tackle by Kobie Turner and Bobby Brown),2.600,2.790
1,12:51,1,10,LAR 42,0,0,Sam Darnold pass complete deep middle to Justin Jefferson for 17 yards (tackle by Christian Rozeboom and Kamren Curl),2.790,3.910
1,12:16,1,10,LAR 25,0,0,Aaron Jones right guard for 3 yards (tackle by Christian Rozeboom),3.910,3.770
1,11:36,2,7,LAR 22,0,0,Sam Darnold pass complete deep middle to Justin Jefferson for 17 yards (tackle by Darious Williams and Kamren Kinchens),3.770,6.060
1,10:48,1,5,LAR 5,6,0,Sam Darnold pass complete short left to Josh Oliver for 5 yards touchdown,6.060,7.000
1,10:43,,,LAR 15,7,0,Will Reichard kicks extra point good,0.000,0.000
1,10:43,,,MIN 35,7,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,10:43,1,10,LAR 30,7,0,Matthew Stafford pass incomplete short left intended for Puka Nacua,0.940,0.390
1,10:38,2,10,LAR 30,7,0,Matthew Stafford pass complete short left to Puka Nacua for 13 yards (tackle by Harrison Phillips and Josh Metellus),0.390,1.800
1,10:01,1,10,LAR 43,7,0,Kyren Williams up the middle for 13 yards (tackle by Harrison Smith),1.800,2.650
1,9:21,1,10,MIN 44,7,0,Matthew Stafford pass complete short left to Tyler Johnson for 6 yards (tackle by Harrison Smith),2.650,2.920
1,8:35,,,,,,Timeout #1 by Los Angeles Rams,,
1,8:35,2,4,MIN 38,7,0,Matthew Stafford pass complete short left to Puka Nacua for 21 yards (tackle by Andrew Van Ginkel and Camryn Bynum),2.920,4.440
1,7:54,1,10,MIN 17,7,0,Kyren Williams up the middle for 3 yards (tackle by Ivan Pace). Penalty on Ivan Pace: Face Mask (15 Yards) 7 yards (accepted),4.440,5.600
1,7:34,1,7,MIN 7,7,0,Kyren Williams up the middle for 2 yards (tackle by Ivan Pace),5.600,5.150
1,6:45,2,5,MIN 5,7,0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,5.150,4.260
1,6:42,3,5,MIN 5,7,6,Matthew Stafford pass complete short middle to Kyren Williams for 5 yards touchdown,4.260,7.000
1,6:38,,,MIN 15,7,7,Joshua Karty kicks extra point good,0.000,0.000
1,6:38,,,LAR 35,7,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,6:38,1,10,MIN 30,7,7,Aaron Jones right tackle for -1 yards (tackle by Kobie Turner and Jared Verse),0.940,0.260
1,6:01,2,11,MIN 29,7,7,Sam Darnold pass complete short right to Jordan Addison for 14 yards (tackle by Cobie Durant),0.260,1.800
1,5:23,1,10,MIN 43,7,7,Aaron Jones right guard for 7 yards (tackle by Christian Rozeboom),1.800,2.200
1,4:45,2,3,MIN 50,7,7,Sam Darnold pass complete short middle to Justin Jefferson for 19 yards (tackle by Cobie Durant),2.200,3.510
1,4:02,1,10,LAR 31,7,7,Sam Darnold scrambles right end for 5 yards (tackle by Cobie Durant),3.510,3.640
1,3:24,2,5,LAR 26,7,7,Aaron Jones up the middle for 4 yards (tackle by Christian Rozeboom and Byron Young),3.640,3.470
1,3:05,3,1,LAR 22,7,7,Sam Darnold up the middle for 2 yards (tackle by Braden Fiske),3.470,4.240
1,2:22,1,10,LAR 20,7,7,Sam Darnold pass complete short right to Justin Jefferson for 5 yards (tackle by Cobie Durant),4.240,4.450
1,1:37,2,5,LAR 15,7,7,Aaron Jones up the middle for 5 yards (tackle by Omar Speights),4.450,4.910
1,0:58,1,10,LAR 10,13,7,Sam Darnold pass complete short left to Trent Sherfield for 10 yards touchdown,4.910,7.000
1,0:53,,,LAR 15,14,7,Will Reichard kicks extra point good,0.000,0.000
1,0:53,,,MIN 35,14,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,0:53,1,10,LAR 30,14,7,Matthew Stafford pass complete deep middle to Puka Nacua for 16 yards (tackle by Camryn Bynum),0.940,1.990
1,0:15,1,10,LAR 46,14,7,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Camryn Bynum),1.990,1.450
1,0:10,,,,,,Timeout #2 by Los Angeles Rams,,
1,0:10,2,10,LAR 46,14,7,Matthew Stafford pass complete short left to Kyren Williams for 3 yards (tackle by Patrick Jones and Shaquill Griffin),1.450,1.160
2,14:55,3,7,LAR 49,14,7,Matthew Stafford pass incomplete short middle intended for Puka Nacua. Penalty on Byron Murphy: Defensive Holding 5 yards (accepted) (no play),1.160,2.520
2,14:55,1,10,MIN 46,14,7,Kyren Williams left tackle for 17 yards (tackle by Ivan Pace),2.520,3.640
2,14:13,1,10,MIN 29,14,7,Blake Corum right tackle for 1 yard (tackle by Ivan Pace and Jonathan Bullard),3.640,3.240
2,13:30,2,9,MIN 28,14,7,Matthew Stafford pass complete short right to Puka Nacua for 14 yards (tackle by Stephon Gilmore),3.240,4.650
2,12:51,1,10,MIN 14,14,7,Puka Nacua left end for 7 yards (tackle by Josh Metellus),4.650,5.280
2,12:10,2,3,MIN 7,14,7,Kyren Williams up the middle for 1 yard (tackle by Patrick Jones and Jonathan Greenard),5.280,4.730
2,11:20,3,2,MIN 6,14,7,Penalty on Alaric Jackson: False Start 5 yards (accepted) (no play),4.730,3.620
2,10:59,3,7,MIN 11,14,7,Matthew Stafford pass incomplete short right intended for Cooper Kupp. Penalty on Stephon Gilmore: Defensive Pass Interference 5 yards (accepted) (no play),3.620,5.830
2,10:53,1,6,MIN 6,14,7,Kyren Williams up the middle for -1 yards (tackle by Ivan Pace),5.830,4.760
2,10:11,2,7,MIN 7,14,13,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards touchdown,4.760,7.000
2,10:05,,,MIN 15,14,14,Joshua Karty kicks extra point good,0.000,0.000
2,10:05,,,LAR 35,14,14,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,10:05,1,10,MIN 30,14,14,Penalty on Blake Brandel: False Start 5 yards (accepted) (no play),0.940,0.610
2,10:05,1,15,MIN 25,14,14,Sam Darnold pass incomplete short right intended for Jalen Nailor. Penalty on Sam Darnold: Illegal Formation 5 yards (declined),0.610,-0.280
2,10:01,2,15,MIN 25,14,14,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Jaylen McCollough),-0.280,-0.160
2,9:22,3,9,MIN 31,14,14,Sam Darnold pass incomplete short right,-0.160,-1.310
2,9:16,4,9,MIN 31,14,14,Ryan Wright punts 61 yards returned by Xavier Smith for 4 yards (tackle by Trent Sherfield),-1.310,0.350
2,9:06,1,10,LAR 12,14,14,Blake Corum right end for 1 yard (tackle by Patrick Jones and Andrew Van Ginkel),-0.350,-0.700
2,8:23,2,9,LAR 13,14,14,Penalty on Beaux Limmer: False Start 5 yards (accepted) (no play),-0.700,-1.070
2,8:01,2,14,LAR 8,14,14,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Patrick Jones),-1.070,-1.420
2,7:34,3,10,LAR 12,14,14,Matthew Stafford pass incomplete short right. Penalty on Jihad Ward: Illegal Use of Hands / Defense 5 yards (accepted) (no play),-1.420,-0.060
2,7:28,1,10,LAR 17,14,14,Blake Corum up the middle for 5 yards (tackle by Taki Taimani),-0.060,0.210
2,6:51,2,5,LAR 22,14,14,Penalty on Rob Havenstein: False Start 5 yards (accepted) (no play),0.210,-0.580
2,6:27,2,10,LAR 17,14,14,Kyren Williams right tackle for 4 yards (tackle by Harrison Smith and Camryn Bynum). Penalty on Beaux Limmer: Offensive Holding 10 yards (accepted),-0.580,-1.220
2,6:22,2,16,LAR 11,14,14,Matthew Stafford pass complete short right to Kyren Williams for -2 yards (tackle by Andrew Van Ginkel),-1.220,-2.360
2,5:50,3,18,LAR 9,14,14,Kyren Williams up the middle for 13 yards (tackle by Josh Metellus and Harrison Smith),-2.360,-1.900
2,4:56,4,5,LAR 22,14,14,Ethan Evans punts 42 yards returned by Brandon Powell for 6 yards (tackle by Xavier Smith),-1.900,-1.730
2,4:46,1,10,MIN 42,14,14,Sam Darnold sacked by Jared Verse for -10 yards,1.730,-0.160
2,3:59,2,20,MIN 32,14,14,Penalty on Christian Darrisaw: False Start 5 yards (accepted) (no play),-0.160,-0.840
2,3:40,2,25,MIN 27,14,14,Sam Darnold pass incomplete deep left,-0.840,-1.480
2,3:31,3,25,MIN 27,14,14,Sam Darnold pass complete short right to Jalen Nailor for 9 yards (tackle by Ahkello Witherspoon),-1.480,-0.980
2,2:57,4,16,MIN 36,14,14,Ryan Wright punts 53 yards fair catch by Xavier Smith at LA-11,-0.980,0.370
2,2:50,1,10,LAR 11,14,14,Kyren Williams left tackle for 4 yards (tackle by Andrew Van Ginkel and Ivan Pace),-0.370,-0.430
2,2:11,2,6,LAR 15,14,14,Matthew Stafford pass complete short middle to Colby Parkinson for 8 yards (tackle by Ivan Pace and Josh Metellus),-0.430,0.480
2,2:00,1,10,LAR 23,14,14,Kyren Williams right guard for 12 yards (tackle by Camryn Bynum),0.480,1.270
2,1:35,1,10,LAR 35,14,14,Matthew Stafford pass complete short right to Kyren Williams for 6 yards (tackle by Harrison Smith),1.270,1.530
2,1:30,2,4,LAR 41,14,14,Kyren Williams up the middle for 5 yards (tackle by Kamu Grugier-Hill),1.530,1.990
2,1:00,1,10,LAR 46,14,14,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Harrison Smith),1.990,1.990
2,0:49,2,6,LAR 50,14,14,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Stephon Gilmore),1.990,1.290
2,0:47,3,6,LAR 50,14,14,Matthew Stafford pass incomplete short left intended for Kyren Williams (defended by Jonathan Greenard),1.290,-0.060
2,0:42,4,6,LAR 50,14,14,Ethan Evans punts 45 yards downed by Xavier Smith. Penalty on Dallas Turner: Defensive Holding 2 yards (accepted),-0.060,0.380
2,0:35,1,10,MIN 3,14,14,Aaron Jones up the middle for 2 yards (tackle by Jaylen McCollough),-0.380,-0.630
2,0:21,,,,,,Timeout #1 by Minnesota Vikings,,
