Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NWE 30,0,0,Rhamondre Stevenson right tackle for 6 yards (tackle by Sauce Gardner and Isaiah Oliver),0.940,1.200
1,14:26,2,4,NWE 36,0,0,Rhamondre Stevenson right end for -1 yards (tackle by Chazz Surratt),1.200,0.370
1,13:49,3,5,NWE 35,0,0,Drake Maye pass incomplete deep right intended for Kayshon Boutte,0.370,-1.040
1,13:42,4,5,NWE 35,0,0,Bryce Baringer punts 52 yards returned by Xavier Gipson for 40 yards (tackle by Dell Pettus),-1.040,-2.460
1,13:29,1,10,NWE 47,0,0,Aaron Rodgers pass complete short right to Jeremy Ruckert for -1 yards (tackle by Keion White),2.460,1.780
1,12:44,2,11,NWE 48,0,0,Breece Hall right end for 8 yards (tackle by Jahlani Tavai),1.780,2.150
1,11:58,,,,,,Timeout #1 by New York Jets,,
1,11:58,3,3,NWE 40,0,0,Aaron Rodgers pass incomplete short left intended for Breece Hall,2.150,0.590
1,11:55,4,3,NWE 40,0,0,Penalty on Aaron Rodgers: Delay of Game 5 yards (accepted) (no play),0.590,0.270
1,11:55,4,8,NWE 45,0,0,Thomas Morstead punts 34 yards returned by Marcus Jones for 12 yards (tackle by Samuel Eguavoen),0.270,-0.480
1,11:46,1,10,NWE 23,0,0,Drake Maye pass complete short left to Demario Douglas for 9 yards (tackle by Jalen Mills and Jamien Sherwood),0.480,1.150
1,11:14,2,1,NWE 32,0,0,Rhamondre Stevenson left end for 4 yards (tackle by Quincy Williams),1.150,1.330
1,10:35,1,10,NWE 36,0,0,Drake Maye pass incomplete short left. Penalty on Jalen Mills: Defensive Holding 5 yards (accepted) (no play),1.330,1.660
1,10:30,1,10,NWE 41,0,0,Rhamondre Stevenson left guard for 5 yards (tackle by Jamien Sherwood and Solomon Thomas),1.660,1.800
1,9:48,2,5,NWE 46,0,0,Antonio Gibson up the middle for no gain (tackle by Quincy Williams and Leonard Taylor),1.800,1.090
1,9:08,3,5,NWE 46,0,0,Drake Maye pass complete short middle to Hunter Henry for 11 yards (tackle by D.J. Reed),1.090,2.720
1,8:31,1,10,NYJ 43,0,0,Drake Maye pass complete short right to Austin Hooper for 3 yards (tackle by Isaiah Oliver),2.720,2.580
1,7:54,2,7,NYJ 40,0,0,Drake Maye scrambles right end for 11 yards (tackle by Chazz Surratt),2.580,3.640
1,7:11,1,10,NYJ 29,0,0,Rhamondre Stevenson left end for 2 yards (tackle by Leonard Taylor and Solomon Thomas),3.640,3.370
1,6:30,2,8,NYJ 27,0,0,Penalty on Solomon Thomas: Neutral Zone Infraction 5 yards (accepted) (no play),3.370,4.050
1,6:05,2,3,NYJ 22,0,0,Rhamondre Stevenson left end for 5 yards (tackle by Jalen Mills and Braiden McGregor),4.050,4.440
1,5:26,1,10,NYJ 17,0,6,Drake Maye scrambles right end for 17 yards touchdown,4.440,7.000
