Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
,,,,,,,Titans won the coin toss and deferred Lions to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DET 30,0,0,Jared Goff sacked by Arden Key for -7 yards,0.940,-0.550
1,14:26,2,17,DET 23,0,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Quandre Diggs),-0.550,-0.430
1,13:50,3,11,DET 29,0,0,Jared Goff pass complete short middle to Jahmyr Gibbs for 6 yards (tackle by Quandre Diggs),-0.430,-1.040
1,13:09,4,5,DET 35,0,0,Jack Fox punts 57 yards returned by Jha'Quan Jackson for 8 yards. Jha'Quan Jackson fumbles (forced by Sione Vaki) recovered by Jha'Quan Jackson at TEN-15 (tackle by Sione Vaki),-1.040,0.220
1,12:57,1,10,TEN 15,0,0,Tony Pollard right tackle for 4 yards (tackle by Alim McNeill),-0.220,-0.110
1,12:18,2,6,TEN 19,0,0,Mason Rudolph pass complete short right to Calvin Ridley for 13 yards (tackle by Carlton Davis),-0.110,1.070
1,11:43,1,10,TEN 32,0,0,Tony Pollard left end for no gain (tackle by D.J. Reader),1.070,0.530
1,11:07,2,10,TEN 32,0,0,Mason Rudolph pass short right intended for Nick Vannett is intercepted by Trevor Nowaske at TEN-31 and returned for 8 yards (tackle by Josh Whyle),0.530,-4.040
1,10:59,1,10,TEN 23,0,0,David Montgomery up the middle for 9 yards (tackle by Quandre Diggs). Penalty on Arden Key: Face Mask (15 Yards) 7 yards (accepted),4.040,5.600
1,10:36,1,7,TEN 7,0,6,David Montgomery left tackle for 7 yards touchdown,5.600,7.000
1,10:31,,,TEN 15,0,7,Jake Bates kicks extra point good,0.000,0.000
1,10:31,,,DET 35,0,7,Jake Bates kicks off 65 yards returned by Jha'Quan Jackson for 29 yards (tackle by Khalil Dorsey),0.000,0.870
1,10:25,1,10,TEN 29,0,7,Tony Pollard up the middle for 17 yards (tackle by Brian Branch),0.870,1.990
1,9:49,1,10,TEN 46,0,7,Tony Pollard left tackle for 4 yards (tackle by Terrion Arnold),1.990,1.990
1,9:10,2,6,TEN 50,0,7,Tony Pollard up the middle for -2 yards (tackle by Alim McNeill),1.990,1.030
1,8:30,3,8,TEN 48,0,7,Mason Rudolph pass incomplete short middle intended for Nick Westbrook-Ikhine (defended by Carlton Davis),1.030,-0.190
1,8:25,4,8,TEN 48,0,7,Ryan Stonehouse punts 45 yards returned by Kalif Raymond for 10 yards (tackle by Jaylen Harrell and Josh Whyle),-0.190,0.060
1,8:15,1,10,DET 17,0,7,Jahmyr Gibbs right end for 11 yards (tackle by Amani Hooker),-0.060,0.810
1,7:57,1,10,DET 28,0,7,Jared Goff pass incomplete short right intended for Allen Robinson,0.810,0.260
1,7:53,2,10,DET 28,0,7,Jared Goff sacked by Roger McCreary for -13 yards,0.260,-2.640
1,7:11,3,23,DET 15,0,7,Jared Goff sacked by Arden Key for -2 yards. Jared Goff fumbles (forced by Arden Key) recovered by Kevin Zeitler at DET-14 (tackle by Arden Key),-2.640,-2.470
1,6:29,4,24,DET 14,0,7,Jack Fox punts 67 yards returned by Jha'Quan Jackson for 6 yards (tackle by Jack Campbell),-2.470,-0.610
1,6:20,1,10,TEN 25,0,7,Mason Rudolph pass complete short right to Josh Whyle for 33 yards (tackle by Brian Branch),0.610,2.790
1,5:33,,,,,,Timeout #1 by Tennessee Titans,,
1,5:33,1,10,DET 42,0,7,Mason Rudolph pass complete short right to Tyler Boyd for 5 yards (tackle by Jalen Reeves-Maybin),2.790,2.920
1,4:55,2,5,DET 37,0,7,Mason Rudolph pass complete deep left to Calvin Ridley for 26 yards (tackle by Brian Branch),2.920,4.840
1,4:13,1,10,DET 11,6,7,Mason Rudolph scrambles left end for 11 yards touchdown,4.840,7.000
1,4:07,,,DET 15,7,7,Nick Folk kicks extra point good,0.000,0.000
1,4:07,,,TEN 35,7,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,4:07,1,10,DET 30,7,13,Jahmyr Gibbs left tackle for 70 yards touchdown,0.940,7.000
