Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA
,,,,,,,Bills won the coin toss and deferred Seahawks to receive the opening kickoff.,,
1,15:00,,,BUF 35,0,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SEA 30,0,0,Geno Smith pass incomplete short right intended for Noah Fant (defended by Gregory Rousseau),0.940,0.390
1,14:56,2,10,SEA 30,0,0,Geno Smith pass complete short left to Kenneth Walker for 1 yard (tackle by Taron Johnson),0.390,-0.160
1,14:15,3,9,SEA 31,0,0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Gregory Rousseau),-0.160,-1.310
1,14:10,4,9,SEA 31,0,0,Michael Dickson punts 61 yards returned by Brandon Codrington for 11 yards (tackle by K'Von Wallace). Penalty on Cameron Lewis: Illegal Blindside Block 9 yards (accepted),-1.310,0.380
1,13:58,1,10,BUF 10,0,0,Josh Allen pass complete deep left to Dawson Knox for 23 yards (tackle by Coby Bryant),-0.380,1.140
1,13:18,1,10,BUF 33,0,0,James Cook up the middle for 8 yards (tackle by Josh Jobe),1.140,1.670
1,12:40,2,2,BUF 41,0,0,Ray Davis right guard for no gain (tackle by Devon Witherspoon). Penalty on Alec Anderson: Offensive Holding 10 yards (accepted) (no play),1.670,0.320
1,12:12,2,12,BUF 31,0,0,Josh Allen pass complete short right to Khalil Shakir for 8 yards (tackle by Coby Bryant and Ernest Jones),0.320,0.700
1,11:33,3,4,BUF 39,0,0,Josh Allen pass complete short left to Dalton Kincaid for 6 yards (tackle by Julian Love),0.700,1.930
1,10:48,1,10,BUF 45,0,0,Penalty on David Edwards: False Start 5 yards (accepted) (no play),1.930,1.600
1,10:28,1,15,BUF 40,0,0,Josh Allen sacked by Boye Mafe for no gain. Josh Allen fumbles (forced by Boye Mafe) recovered by Spencer Brown at BUF-37. Penalty on Devon Witherspoon: Illegal Contact 5 yards (accepted) (no play),1.600,1.930
1,10:14,1,10,BUF 45,0,0,Josh Allen pass complete short right to Khalil Shakir for 9 yards (tackle by Josh Jobe),1.930,2.600
1,9:37,2,1,SEA 46,0,0,James Cook left guard for no gain (tackle by Byron Murphy and Ernest Jones),2.600,1.880
1,9:16,3,1,SEA 46,0,0,Josh Allen left guard for 3 yards (tackle by Devon Witherspoon),1.880,2.720
1,8:39,1,10,SEA 43,0,0,James Cook left guard for no gain (tackle by Tyrel Dodson and Riq Woolen). Penalty on Connor McGovern: Offensive Holding 10 yards (accepted) (no play),2.720,2.060
1,8:10,1,20,BUF 47,0,0,James Cook left end for 5 yards (tackle by Riq Woolen),2.060,1.500
1,7:27,2,15,SEA 48,0,0,Josh Allen pass complete short right to Keon Coleman for 7 yards (tackle by Ernest Jones),1.500,1.750
1,6:47,3,8,SEA 41,0,0,Josh Allen pass complete deep left to Keon Coleman for 25 yards (tackle by Coby Bryant). Penalty on Josh Jobe: Defensive Holding 5 yards (declined),1.750,4.510
1,6:18,1,10,SEA 16,0,0,James Cook up the middle for 11 yards (tackle by Coby Bryant),4.510,6.060
1,5:41,1,5,SEA 5,0,0,Josh Allen pass incomplete short left intended for Keon Coleman (defended by Riq Woolen),6.060,5.150
1,5:37,2,5,SEA 5,0,0,Josh Allen right guard for 3 yards (tackle by Ernest Jones),5.150,4.950
1,4:54,3,2,SEA 2,6,0,Josh Allen pass complete short right to Keon Coleman for 2 yards touchdown,4.950,7.000
1,4:51,,,SEA 15,7,0,Tyler Bass kicks extra point good,0.000,0.000
1,4:51,,,BUF 35,7,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
