Quarter,Time,Down,ToGo,Location,NOR,LAC,Detail,EPB,EPA
,,,,,,,Saints won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,NOR 35,0,0,Blake Grupe kicks off 62 yards returned by Jalen Reagor for 22 yards (tackle by Kool-Aid McKinstry),0.000,0.610
1,14:55,1,10,LAC 25,0,0,Justin Herbert pass complete short left to J.K. Dobbins for -2 yards (tackle by Pete Werner),0.610,-0.210
1,14:16,2,12,LAC 23,0,0,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Kool-Aid McKinstry),-0.210,-0.890
1,14:10,3,12,LAC 23,0,0,Justin Herbert pass incomplete short left intended for J.K. Dobbins (defended by Chase Young),-0.890,-1.830
1,14:07,4,12,LAC 23,0,0,JK Scott punts 59 yards returned by Jermaine Jackson for 3 yards (tackle by Stone Smartt),-1.830,-0.340
1,13:54,1,10,NOR 21,0,0,Alvin Kamara right end for 23 yards (tackle by Daiyan Henley),0.340,1.860
1,13:25,1,10,NOR 44,0,0,Taysom Hill right guard for 8 yards (tackle by Otito Ogbonnia and Derwin James),1.860,2.400
1,12:52,2,2,LAC 48,0,0,Alvin Kamara right guard for 1 yard (tackle by Poona Ford and Denzel Perryman),2.400,1.820
1,12:13,3,1,LAC 47,0,0,Alvin Kamara up the middle for no gain (tackle by Denzel Perryman and Daiyan Henley),1.820,0.130
1,11:25,4,1,LAC 47,0,0,Matthew Hayball punts 47 yards touchback.,0.130,-0.280
1,11:15,1,10,LAC 20,0,0,J.K. Dobbins left guard for 2 yards (tackle by Pete Werner),0.280,0.000
1,10:38,2,8,LAC 22,0,0,Justin Herbert pass incomplete short right intended for J.K. Dobbins,0.000,-0.690
1,10:33,3,8,LAC 22,0,0,Justin Herbert pass incomplete short left,-0.690,-1.900
1,10:27,4,8,LAC 22,2,0,Josh Harris aborted snap recovered by JK Scott in end zone. JK Scott fumbles ball out of bounds at end zone (forced by Taysom Hill),-1.900,-2.000
1,10:20,,,LAC 20,2,0,Cameron Dicker kicks off 68 yards returned by Jermaine Jackson for 22 yards (tackle by Nick Niemann),0.000,1.200
1,10:14,1,10,NOR 34,2,0,Kendre Miller left tackle for 1 yard (tackle by Bud Dupree),1.200,0.790
1,9:40,2,9,NOR 35,2,0,Spencer Rattler pass complete short right to Chris Olave for no gain (tackle by Derwin James). Penalty on Lucas Patrick: Offensive Holding 10 yards (accepted) (no play),0.790,-0.560
1,9:21,2,19,NOR 25,2,0,Spencer Rattler pass complete short left to Taysom Hill for 14 yards (tackle by Daiyan Henley and Cam Hart),-0.560,0.630
1,8:45,3,5,NOR 39,2,0,Spencer Rattler pass incomplete short right,0.630,-0.780
1,8:37,4,5,NOR 39,2,0,Matthew Hayball punts 49 yards returned by Ladd McConkey for 5 yards (tackle by D'Marco Jackson),-0.780,0.060
1,8:27,1,10,LAC 17,2,0,J.K. Dobbins left guard for 2 yards (tackle by Khalen Saunders),-0.060,-0.250
1,7:49,2,8,LAC 19,2,0,Justin Herbert pass complete short left to Will Dissly for 9 yards (tackle by Tyrann Mathieu),-0.250,0.810
1,7:12,1,10,LAC 28,2,0,Justin Herbert pass complete short middle to Ladd McConkey for 15 yards (tackle by Kool-Aid McKinstry),0.810,1.800
1,6:31,1,10,LAC 43,2,0,Kimani Vidal up the middle for 2 yards (tackle by Demario Davis),1.800,1.520
1,5:52,2,8,LAC 45,2,0,Justin Herbert pass incomplete short right intended for Will Dissly,1.520,0.830
1,5:46,3,8,LAC 45,2,0,Justin Herbert sacked by Ugo Amadi for -8 yards,0.830,-0.910
1,5:11,4,16,LAC 37,2,0,JK Scott punts 47 yards fair catch by Jermaine Jackson at NO-16,-0.910,0.140
1,5:02,1,10,NOR 16,2,0,Spencer Rattler pass incomplete deep right intended for Chris Olave (defended by Cam Hart) NOR challenged the pass completion ruling and the original play was overturned. Spencer Rattler pass complete deep right to Chris Olave for 20 yards (tackle by Cam Hart),-0.140,1.330
1,4:52,1,10,NOR 36,2,0,Taysom Hill up the middle for 2 yards (tackle by Daiyan Henley and Junior Colson),1.330,1.060
1,4:18,2,8,NOR 38,2,0,Spencer Rattler sacked by Khalil Mack for -8 yards,1.060,-0.690
1,3:32,3,16,NOR 30,2,0,Alvin Kamara right tackle for 8 yards (tackle by Ja'Sir Taylor and Elijah Molden),-0.690,-0.850
1,2:47,4,8,NOR 38,2,0,Matthew Hayball punts 46 yards fair catch by Ladd McConkey at LAC-16,-0.850,0.140
1,2:38,1,10,LAC 16,2,0,Justin Herbert scrambles right end for 38 yards (tackle by Tyrann Mathieu),-0.140,2.520
1,1:55,1,10,NOR 46,2,0,Justin Herbert pass complete short right to Jalen Reagor for 11 yards (tackle by Pete Werner),2.520,3.250
1,1:21,1,10,NOR 35,2,0,J.K. Dobbins left guard for 3 yards (tackle by Nathan Shepherd and Demario Davis),3.250,3.110
1,0:42,2,7,NOR 32,2,0,Justin Herbert pass complete short left to J.K. Dobbins for -5 yards (tackle by Pete Werner),3.110,1.750
1,0:09,3,12,NOR 37,2,0,Justin Herbert pass complete short middle to Will Dissly for 9 yards (tackle by Jordan Howden),1.750,1.680
2,15:00,4,3,NOR 28,2,3,Cameron Dicker 46 yard field goal good,1.680,3.000
2,14:55,,,LAC 35,2,3,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,14:55,1,10,NOR 30,2,3,Alvin Kamara right guard for -2 yards (tackle by Teair Tart),0.940,0.120
2,14:19,2,12,NOR 28,2,3,Spencer Rattler pass incomplete short middle intended for Alvin Kamara (defended by Teair Tart),0.120,-0.560
2,14:16,3,12,NOR 28,2,3,Spencer Rattler pass complete short middle to Taysom Hill for 7 yards (tackle by Cam Hart). Penalty on Bub Means: Offensive Illegal Block Above the Waist 10 yards (accepted),-0.560,-0.960
2,13:47,3,15,NOR 25,2,3,Alvin Kamara left guard for 3 yards (tackle by Morgan Fox and Khalil Mack),-0.960,-1.500
2,13:06,4,12,NOR 28,2,3,Matthew Hayball punts 58 yards returned by Ladd McConkey for 11 yards (tackle by J.T. Gray),-1.500,-0.610
2,12:55,1,10,LAC 25,2,3,J.K. Dobbins left end for 5 yards (tackle by Willie Gay),0.610,0.740
2,12:20,2,5,LAC 30,2,3,J.K. Dobbins right guard for 3 yards (tackle by Demario Davis and Payton Turner),0.740,0.430
2,11:39,3,2,LAC 33,2,3,Justin Herbert pass incomplete short left intended for J.K. Dobbins (defended by Alontae Taylor),0.430,-1.180
2,11:34,4,2,LAC 33,2,3,JK Scott punts 63 yards returned by Jermaine Jackson for 9 yards (tackle by AJ Finley),-1.180,0.320
2,11:25,1,10,NOR 13,2,3,Spencer Rattler pass complete short left to Alvin Kamara for 6 yards (tackle by Alohi Gilman),-0.320,0.030
2,11:02,2,4,NOR 19,2,3,Spencer Rattler pass complete short left to Alvin Kamara for 37 yards (tackle by Derwin James),0.030,2.650
2,10:26,1,10,LAC 44,2,3,Spencer Rattler pass incomplete short left intended for Adam Prentice (defended by Daiyan Henley),2.650,2.110
2,10:21,2,10,LAC 44,2,3,Kendre Miller right end for no gain (tackle by Daiyan Henley and Alohi Gilman). Penalty on Lucas Patrick: Offensive Holding 10 yards (accepted) (no play),2.110,0.760
2,10:03,2,20,NOR 46,2,3,Spencer Rattler pass incomplete short middle intended for Taysom Hill LAC challenged the pass interception ruling and the play was upheld.,0.760,0.100
2,9:53,3,20,NOR 46,2,3,Spencer Rattler pass incomplete short left intended for Alvin Kamara,0.100,-0.320
2,9:50,4,20,NOR 46,2,3,Matthew Hayball punts 44 yards fair catch by Ladd McConkey at LAC-10,-0.320,0.380
2,9:44,1,10,LAC 10,2,3,Kimani Vidal up the middle for 3 yards (tackle by Khalen Saunders and Alontae Taylor),-0.380,-0.560
2,9:05,2,7,LAC 13,2,3,Justin Herbert pass complete short left to Will Dissly for 16 yards (tackle by Pete Werner),-0.560,0.870
2,8:25,1,10,LAC 29,2,3,J.K. Dobbins right end for 2 yards (tackle by Demario Davis and Jordan Howden),0.870,0.600
2,7:45,2,8,LAC 31,2,3,Justin Herbert pass complete short middle to J.K. Dobbins for 10 yards (tackle by Chase Young). Penalty on Nathan Shepherd: Unnecessary Roughness / Defense 15 yards (offset) . Penalty on Bradley Bozeman: Unnecessary Roughness / Offense 15 yards (offset) (no play),0.600,0.600
2,7:31,2,8,LAC 31,2,3,Justin Herbert pass complete short middle to Ladd McConkey for 15 yards (tackle by Marshon Lattimore),0.600,1.990
2,6:46,1,10,LAC 46,2,3,Kimani Vidal left end for 5 yards (tackle by Khalen Saunders),1.990,2.130
2,6:09,2,5,NOR 49,2,3,Kimani Vidal up the middle for 1 yard (tackle by Carl Granderson and Pete Werner),2.130,1.550
2,5:28,3,4,NOR 48,2,3,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Alontae Taylor),1.550,2.720
2,4:44,1,10,NOR 43,2,3,Justin Herbert scrambles right guard for 9 yards (tackle by Pete Werner and Kool-Aid McKinstry),2.720,3.390
2,4:06,2,1,NOR 34,2,3,J.K. Dobbins right guard for 2 yards (tackle by John Ridgeway and Demario Davis),3.390,3.450
