Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Steelers to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,PIT 30,0,0,Russell Wilson pass complete short right to Calvin Austin for 12 yards (tackle by Andru Phillips),0.940,1.730
1,14:30,1,10,PIT 42,0,0,Najee Harris right guard for 5 yards (tackle by Brian Burns),1.730,1.860
1,14:05,2,5,PIT 47,0,0,Russell Wilson pass complete short right to Van Jefferson for 4 yards (tackle by Nick McCloud),1.860,1.690
1,13:36,3,1,NYG 49,0,0,Najee Harris left guard for 10 yards (tackle by Bobby Okereke),1.690,2.980
1,13:07,1,10,NYG 39,0,0,Najee Harris left tackle for 10 yards (tackle by Jason Pinnock and Tyler Nubin),2.980,3.640
1,12:39,,,,,,Timeout #1 by New York Giants,,
1,12:39,1,10,NYG 29,0,0,Jaylen Warren right tackle for 17 yards (tackle by Andru Phillips),3.640,4.780
1,12:05,1,10,NYG 12,0,0,Jaylen Warren left guard for 1 yard (tackle by D.J. Davidson and Bobby Okereke),4.780,4.270
1,11:40,2,9,NYG 11,0,0,Russell Wilson pass complete short right to George Pickens for no gain touchdown. Penalty on Broderick Jones: Offensive Facemask 15 yards (accepted) (no play),4.270,2.330
1,11:35,2,24,NYG 26,0,0,Jaylen Warren up the middle for 4 yards (tackle by Armon Watts and Dexter Lawrence),2.330,2.210
1,11:04,3,20,NYG 22,0,0,Russell Wilson pass complete short left to Jaylen Warren for 9 yards (tackle by Tyler Nubin),2.210,2.570
1,10:23,4,11,NYG 13,0,3,Chris Boswell 31 yard field goal good,2.570,3.000
1,10:19,,,PIT 35,0,3,Chris Boswell kicks off 64 yards returned by Ihmir Smith-Marsette for 29 yards (tackle by Payton Wilson and Miles Killebrew),0.000,0.940
1,10:12,1,10,NYG 30,0,3,Tyrone Tracy right guard for 5 yards (tackle by T.J. Watt),0.940,1.070
1,9:38,2,5,NYG 35,0,3,Tyrone Tracy up the middle for 4 yards (tackle by DeShon Elliott and Larry Ogunjobi),1.070,0.890
1,9:02,3,1,NYG 39,0,3,Daniel Jones up the middle for 2 yards (tackle by Keeanu Benton and Patrick Queen),0.890,1.660
1,8:24,1,10,NYG 41,0,3,Daniel Jones pass complete deep middle to Darius Slayton for 43 yards (tackle by Donte Jackson),1.660,4.510
1,7:37,1,10,PIT 16,0,3,Daniel Jones pass complete short left to Tyrone Tracy for 5 yards (tackle by Donte Jackson and Isaiahh Loudermilk),4.510,4.760
1,7:04,2,5,PIT 11,0,3,Tyrone Tracy right guard for -2 yards (tackle by Elandon Roberts),4.760,3.540
1,6:19,3,7,PIT 13,0,3,Penalty on Daniel Jones: Delay of Game 5 yards (accepted) (no play),3.540,2.940
1,6:00,3,12,PIT 18,0,3,Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Keeanu Benton),2.940,2.750
1,5:23,4,5,PIT 11,3,3,Greg Joseph 29 yard field goal good,2.750,3.000
1,5:19,,,NYG 35,3,3,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
1,5:19,1,10,PIT 30,3,3,Najee Harris up the middle for 7 yards (tackle by Jason Pinnock),0.940,1.340
1,4:53,2,3,PIT 37,3,3,Russell Wilson pass complete deep right to Darnell Washington for 29 yards (tackle by Tyler Nubin),1.340,3.310
1,4:13,1,10,NYG 34,3,3,Najee Harris left guard for 26 yards (tackle by Jason Pinnock),3.310,5.370
1,3:43,1,8,NYG 8,3,3,Najee Harris right guard for 1 yard (tackle by D.J. Davidson and Rakeem Nunez-Roches),5.370,4.760
1,3:20,2,7,NYG 7,3,3,Russell Wilson pass incomplete short right intended for Van Jefferson,4.760,3.810
1,3:16,3,7,NYG 7,3,3,Russell Wilson pass incomplete short middle intended for Calvin Austin (defended by Isaiah Simmons),3.810,2.970
1,3:08,4,7,NYG 7,3,6,Chris Boswell 25 yard field goal good,2.970,3.000
1,3:05,,,PIT 35,3,6,Chris Boswell kicks off 55 yards returned by Ihmir Smith-Marsette for 24 yards (tackle by James Pierre and Jeremiah Moon),0.000,1.200
