Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ARI 30,0,0,James Conner up the middle for 3 yards (tackle by Andrew Billings and Dominique Robinson),0.940,0.800
1,14:27,2,7,ARI 33,0,0,James Conner right end for 1 yard (tackle by Dominique Robinson),0.800,0.230
1,13:48,3,6,ARI 34,0,0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Terell Smith),0.230,-1.110
1,13:41,4,6,ARI 34,0,0,Blake Gillikin punts 51 yards returned by DeAndre Carter for 6 yards (tackle by Owen Pappoe),-1.110,-0.340
1,13:30,1,10,CHI 21,0,0,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Starling Thomas),0.340,0.750
1,13:07,2,3,CHI 28,0,0,D'Andre Swift up the middle for 4 yards (tackle by Dante Stills and Zaven Collins),0.750,1.070
1,12:33,1,10,CHI 32,0,0,Caleb Williams pass incomplete deep middle intended for Keenan Allen (defended by Garrett Williams),1.070,0.530
1,12:28,2,10,CHI 32,0,0,Caleb Williams pass complete short right to Rome Odunze for 17 yards (tackle by Garrett Williams and Owen Pappoe),0.530,2.190
1,11:56,1,10,CHI 49,0,0,D'Andre Swift up the middle for 3 yards (tackle by Dante Stills),2.190,2.050
1,11:14,2,7,ARI 48,0,0,Caleb Williams pass incomplete short right intended for Keenan Allen. Penalty on Keenan Allen: Offensive Pass Interference 10 yards (accepted) (no play),2.050,0.700
1,10:58,2,17,CHI 42,0,0,Caleb Williams pass complete short right to Rome Odunze for 15 yards (tackle by Starling Thomas),0.700,2.010
1,10:24,3,2,ARI 43,0,0,Caleb Williams pass complete short right to D.J. Moore for 4 yards (tackle by Starling Thomas),2.010,2.980
1,9:46,1,10,ARI 39,0,0,D'Andre Swift up the middle for -2 yards (tackle by Kyzir White),2.980,2.170
1,9:04,2,12,ARI 41,0,0,Caleb Williams pass complete short right to D'Andre Swift for 4 yards (tackle by Kyzir White),2.170,2.020
1,8:26,3,8,ARI 37,0,0,Caleb Williams pass complete short right to D.J. Moore for no gain (tackle by Starling Thomas) (no play),2.020,1.360
1,8:05,3,13,ARI 42,0,0,Caleb Williams sacked by and Xavier Thomas for -7 yards and L.J. Collier for -7 yards,1.360,0.000
1,7:23,4,20,ARI 49,0,0,Tory Taylor punts 39 yards returned by Greg Dortch for 7 yards (tackle by Jack Sanborn),0.000,0.060
1,7:09,1,10,ARI 17,0,0,Kyler Murray pass complete short left to Trey Benson for 18 yards (tackle by Jaylon Johnson),-0.060,1.270
1,6:28,1,10,ARI 35,0,0,James Conner up the middle for 4 yards (tackle by Tremaine Edmunds and T.J. Edwards),1.270,1.260
1,5:47,2,6,ARI 39,0,0,Kyler Murray pass complete short left to James Conner for no gain (tackle by Terell Smith),1.260,0.560
1,5:07,3,6,ARI 39,0,0,Kyler Murray sacked by Kevin Byard for -3 yards,0.560,-0.980
1,4:32,4,9,ARI 36,0,0,Blake Gillikin punts 55 yards returned by DeAndre Carter for 7 yards (tackle by Dadrion Taylor-Demerson),-0.980,0.140
1,4:24,1,10,CHI 16,0,0,D'Andre Swift right tackle for 2 yards (tackle by Budda Baker),-0.140,-0.350
1,3:49,2,8,CHI 18,0,0,Caleb Williams pass incomplete deep left intended for Rome Odunze,-0.350,-1.070
1,3:42,3,8,CHI 18,0,0,Caleb Williams pass incomplete deep left intended for Keenan Allen,-1.070,-2.240
1,3:37,4,8,CHI 18,0,0,Tory Taylor punts 50 yards returned by Greg Dortch for 27 yards (tackle by Travis Homer),-2.240,-2.850
1,3:23,1,10,CHI 41,0,0,James Conner up the middle for 15 yards (tackle by Kevin Byard and Dominique Robinson),2.850,3.840
1,2:46,1,10,CHI 26,0,0,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Tyrique Stevenson),3.840,3.840
1,2:09,2,6,CHI 22,0,0,James Conner up the middle for 5 yards (tackle by Elijah Hicks),3.840,3.950
1,1:35,3,1,CHI 17,0,0,Kyler Murray pass complete short left to Trey McBride for 15 yards (tackle by Tyrique Stevenson),3.950,6.740
1,0:51,1,2,CHI 2,0,6,Trey McBride left end for 2 yards touchdown,6.740,7.000
1,0:46,,,CHI 15,0,7,Chad Ryland kicks extra point good,0.000,0.000
1,0:46,,,ARI 35,0,7,Chad Ryland kicks off 65 yards touchback.,0.000,0.280
1,0:46,1,10,CHI 20,0,7,Caleb Williams pass incomplete deep left,0.280,-0.270
1,0:38,2,10,CHI 20,0,7,D'Andre Swift up the middle for 10 yards (tackle by Budda Baker),-0.270,0.940
1,0:03,1,10,CHI 30,0,7,Penalty on Marcedes Lewis: False Start 5 yards (accepted) (no play),0.940,0.610
2,15:00,1,15,CHI 25,0,7,Caleb Williams pass complete short right to D.J. Moore for 6 yards (tackle by Starling Thomas),0.610,0.530
2,14:32,2,9,CHI 31,0,7,D'Andre Swift up the middle for 2 yards (tackle by Zaven Collins),0.530,0.100
2,13:54,3,7,CHI 33,0,7,Caleb Williams pass complete deep left to Rome Odunze for 44 yards (tackle by Jalen Thompson),0.100,4.040
2,13:11,1,10,ARI 23,0,7,Roschon Johnson up the middle for 7 yards (tackle by Starling Thomas and Mack Wilson),4.040,4.560
2,12:46,2,3,ARI 16,0,7,Caleb Williams pass incomplete short right intended for Roschon Johnson (defended by Garrett Williams),4.560,3.850
2,12:40,3,3,ARI 16,0,7,Caleb Williams pass complete short right to Keenan Allen for no gain (tackle by Garrett Williams). Penalty on Dante Stills: Defensive Offside 5 yards (accepted) (no play),3.850,4.840
2,12:10,1,10,ARI 11,0,7,Caleb Williams pass incomplete short right,4.840,4.140
2,12:03,2,10,ARI 11,0,7,Caleb Williams pass incomplete short right intended for Rome Odunze,4.140,3.130
