Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss and deferred Falcons to receive the opening kickoff.,,
1,15:00,,,DAL 35,0,0,Brandon Aubrey kicks off 59 yards returned by Avery Williams for 24 yards (tackle by Buddy Johnson and Nick Vigil),0.000,0.940
1,14:54,1,10,ATL 30,0,0,Bijan Robinson left end for 9 yards (tackle by Trevon Diggs),0.940,1.610
1,14:14,2,1,ATL 39,0,0,Bijan Robinson right tackle for 2 yards (tackle by Osa Odighizuwa). Penalty on Ryan Neuzil: Offensive Holding 10 yards (accepted),1.610,0.530
1,13:52,2,9,ATL 31,0,0,Kirk Cousins pass complete short left to Bijan Robinson for 1 yard (tackle by Donovan Wilson),0.530,-0.030
1,13:17,3,8,ATL 32,0,0,Kirk Cousins pass incomplete short right intended for Darnell Mooney (defended by Trevon Diggs),-0.030,-1.240
1,13:11,4,8,ATL 32,0,0,Bradley Pinion punts 43 yards fair catch by KaVontae Turpin at DAL-25,-1.240,-0.610
1,13:04,1,10,DAL 25,0,0,Dak Prescott pass complete short left to Jake Ferguson for 27 yards (tackle by Matt Judon),0.610,2.390
1,12:38,1,10,ATL 48,0,0,Dak Prescott pass complete short right to Rico Dowdle for 12 yards (tackle by Nathan Landman),2.390,3.180
1,12:13,1,10,ATL 36,0,0,Dak Prescott pass complete short right to Jake Ferguson for 15 yards (tackle by Kaden Elliss and AJ Terrell),3.180,4.170
1,11:35,1,10,ATL 21,0,0,Rico Dowdle right guard for 2 yards (tackle by David Onyemata),4.170,3.900
1,10:58,2,8,ATL 19,0,0,Dak Prescott pass complete short right to Rico Dowdle for -4 yards (tackle by Kaden Elliss),3.900,2.680
1,10:18,3,12,ATL 23,0,0,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Kaden Elliss and DeAundre Alford),2.680,2.430
1,9:36,4,5,ATL 16,3,0,Brandon Aubrey 34 yard field goal good,2.430,3.000
1,9:32,,,DAL 35,3,0,Brandon Aubrey kicks off 64 yards returned by Ray-Ray McCloud for 21 yards (tackle by Buddy Johnson),0.000,0.410
1,9:27,1,10,ATL 22,3,0,Kirk Cousins pass complete deep right to Darnell Mooney for 22 yards (tackle by Caelen Carson),0.410,1.860
1,8:50,1,10,ATL 44,3,0,Bijan Robinson right end for 16 yards (tackle by Donovan Wilson),1.860,2.920
1,8:14,1,10,DAL 40,3,0,Kirk Cousins pass complete short left to Drake London for 18 yards (tackle by Caelen Carson),2.920,4.110
1,7:32,1,10,DAL 22,3,0,Bijan Robinson left end for 5 yards (tackle by Carlos Watkins and Chauncey Golston),4.110,4.290
1,6:53,2,5,DAL 17,3,0,Bijan Robinson right end for 1 yard (tackle by Eric Kendricks and DeMarvion Overshown),4.290,3.740
1,6:09,3,4,DAL 16,3,0,Kirk Cousins pass complete short left to Bijan Robinson for 7 yards (tackle by Jourdan Lewis),3.740,5.140
1,5:27,1,9,DAL 9,3,6,Kirk Cousins pass complete short left to Drake London for 9 yards touchdown,5.140,7.000
1,5:23,,,DAL 15,3,7,Younghoe Koo kicks extra point good,0.000,0.000
1,5:23,,,ATL 35,3,7,Bradley Pinion kicks off 67 yards returned by KaVontae Turpin for 28 yards (tackle by Bradley Pinion). Penalty on Luke Schoonmaker: Offensive Holding 10 yards (accepted),0.000,-0.140
1,5:16,1,10,DAL 16,3,7,Rico Dowdle right end for 4 yards (tackle by Arnold Ebiketie and Ta'Quon Graham),-0.140,0.010
1,4:46,2,6,DAL 20,3,7,Dak Prescott sacked by Arnold Ebiketie for -3 yards,0.010,-1.200
1,4:03,3,9,DAL 17,3,7,Dak Prescott sacked by Grady Jarrett for -4 yards,-1.200,-2.490
1,3:25,4,13,DAL 13,3,7,Bryan Anger punts 41 yards returned by Avery Williams for 5 yards (tackle by Damone Clark),-2.490,-2.320
1,3:14,1,10,DAL 49,3,7,Bijan Robinson right tackle for no gain (tackle by Osa Odighizuwa),2.320,1.780
1,2:33,2,10,DAL 49,3,7,Penalty on Ray-Ray McCloud: False Start 5 yards (accepted) (no play),1.780,1.110
1,2:20,2,15,ATL 46,3,7,Kirk Cousins pass complete short left to Bijan Robinson for 2 yards (tackle by Jourdan Lewis),1.110,0.700
1,1:43,3,13,ATL 48,3,7,Kirk Cousins pass complete short right to KhaDarel Hodge for 9 yards (tackle by Donovan Wilson and Jourdan Lewis),0.700,0.400
1,1:08,4,4,DAL 43,3,7,Kirk Cousins pass complete short right to Darnell Mooney for 10 yards (tackle by Caelen Carson),0.400,3.380
1,0:28,1,10,DAL 33,3,7,Bijan Robinson right end for 2 yards (tackle by Chauncey Golston),3.380,3.110
2,15:00,2,8,DAL 31,3,7,Kirk Cousins pass complete short left to Bijan Robinson for -1 yards (tackle by Jourdan Lewis),3.110,2.280
2,14:25,3,9,DAL 32,3,7,Kirk Cousins sacked by Carl Lawson for -6 yards. Kirk Cousins fumbles (forced by Carl Lawson) recovered by Donovan Wilson at DAL-33,2.280,-1.140
2,14:16,1,10,DAL 33,3,7,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Nathan Landman and AJ Terrell),1.140,1.670
2,13:42,2,2,DAL 41,3,7,Rico Dowdle right end for 6 yards (tackle by AJ Terrell),1.670,2.060
2,13:10,1,10,DAL 47,3,7,Dak Prescott pass complete short left to Jalen Tolbert for 3 yards (tackle by AJ Terrell),2.060,1.920
2,12:37,2,7,DAL 50,3,7,Dak Prescott pass complete short left to Jake Ferguson for 6 yards (tackle by Justin Simmons),1.920,2.020
2,12:06,3,1,ATL 44,3,7,Rico Dowdle left guard for no gain (tackle by Grady Jarrett and Nathan Landman),2.020,0.330
2,11:26,,,,,,Timeout #1 by Dallas Cowboys,,
2,11:26,4,1,ATL 44,3,7,CeeDee Lamb right end for -3 yards (tackle by Kaden Elliss),0.330,-2.060
2,11:18,1,10,ATL 47,3,7,Kirk Cousins pass complete short left to Bijan Robinson for 10 yards (tackle by DeMarvion Overshown),2.060,2.720
