Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
,,,,,,,Ravens won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Jaleel McLaughlin right end for 1 yard (tackle by Marcus Williams),0.940,0.530
1,14:35,2,9,DEN 31,0,0,Bo Nix pass short right intended for Lil'Jordan Humphrey is intercepted by Ar'Darius Washington at DEN-37 and returned for 1 yard (tackle by Lil'Jordan Humphrey),0.530,-3.180
1,14:30,1,10,DEN 36,0,0,Lamar Jackson pass complete short right to Rashod Bateman for 1 yard (tackle by Riley Moss and Cody Barton),3.180,2.770
1,13:50,2,9,DEN 35,0,0,Derrick Henry left end for 4 yards (tackle by Jonathon Cooper and John Franklin-Myers),2.770,2.610
1,13:06,3,5,DEN 31,0,0,Lamar Jackson sacked by John Franklin-Myers for -11 yards,2.610,0.460
1,12:20,4,16,DEN 42,0,0,Jordan Stout punts 40 yards downed by Tylan Wallace,0.460,0.380
1,12:12,1,10,DEN 2,0,0,Javonte Williams right guard for 2 yards (tackle by Kyle Hamilton and Broderick Washington),-0.380,-0.630
1,11:36,2,8,DEN 4,0,0,Bo Nix pass complete short right to Adam Trautman for 4 yards (tackle by Marlon Humphrey),-0.630,-0.720
1,10:56,3,4,DEN 8,0,0,Bo Nix pass complete short left to Devaughn Vele for 5 yards (tackle by Arthur Maulet),-0.720,-0.320
1,10:15,1,10,DEN 13,0,0,Bo Nix pass complete short left to Jaleel McLaughlin for 6 yards (tackle by Odafe Oweh),-0.320,0.030
1,9:43,2,4,DEN 19,0,0,Javonte Williams up the middle for 6 yards (tackle by Trenton Simpson and Chris Wormley),0.030,0.610
1,9:06,1,10,DEN 25,0,0,Bo Nix pass incomplete short right. Penalty on Troy Franklin: Offensive Pass Interference 10 yards (accepted) (no play),0.610,-0.410
1,8:57,1,20,DEN 15,0,0,Javonte Williams right guard for 6 yards (tackle by Kyle Hamilton),-0.410,-0.480
1,8:35,2,14,DEN 21,0,0,Bo Nix pass complete deep left to Courtland Sutton for 26 yards (tackle by Ar'Darius Washington),-0.480,2.060
1,7:49,1,10,DEN 47,0,0,Jaleel McLaughlin right guard for 3 yards (tackle by Odafe Oweh),2.060,1.920
1,7:23,2,7,BAL 50,0,0,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 6 yards (tackle by Trenton Simpson),1.920,2.020
1,6:58,3,1,BAL 44,0,0,Bo Nix up the middle for no gain (tackle by Kyle Van Noy and Odafe Oweh),2.020,0.330
1,6:21,4,1,BAL 44,0,0,Javonte Williams right end for 1 yard (tackle by Brandon Stephens and Roquan Smith) BAL challenged the first down ruling and the original play was overturned. Javonte Williams right end for no gain and Brandon Stephens and Roquan Smith),0.330,-1.800
1,6:17,1,10,BAL 43,0,0,Derrick Henry left guard for 1 yard (tackle by Nik Bonitto),1.800,1.390
