Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAC 30,0,0,Justin Herbert pass complete deep middle to Ladd McConkey for 16 yards (tackle by Devin Bush),0.940,1.990
1,14:30,1,10,LAC 46,0,0,Quentin Johnston right end for 2 yards (tackle by Grant Delpit and Juan Thornhill),1.990,1.720
1,13:59,2,8,LAC 48,0,0,Justin Herbert pass incomplete short left intended for Jalen Reagor,1.720,1.030
1,13:56,3,8,LAC 48,0,0,Justin Herbert pass incomplete deep right intended for Josh Palmer,1.030,-0.190
1,13:51,4,8,LAC 48,0,0,JK Scott punts 43 yards fair catch by Jaelon Darden at CLE-9,-0.190,0.380
1,13:45,1,10,CLE 9,0,0,Nick Chubb left end for 2 yards (tackle by Daiyan Henley and Cam Hart),-0.380,-0.630
1,13:08,2,8,CLE 11,0,0,Jameis Winston pass complete short left to Cedric Tillman for 9 yards (tackle by Cam Hart and Alohi Gilman),-0.630,0.280
1,12:35,1,10,CLE 20,0,0,Nick Chubb right guard for 7 yards (tackle by Daiyan Henley and Derwin James),0.280,0.680
1,11:47,2,3,CLE 27,0,0,Penalty on David Njoku: False Start 5 yards (accepted) (no play),0.680,0.000
1,11:39,2,8,CLE 22,0,0,Jameis Winston sacked by and Tuli Tuipulotu for -1 yards and Cam Hart for -1 yards,0.000,-0.820
1,10:54,3,9,CLE 21,0,0,Jameis Winston pass incomplete short right intended for Elijah Moore,-0.820,-1.960
1,10:48,4,9,CLE 21,0,0,Corey Bojorquez punts 62 yards returned by Derius Davis for 53 yards (tackle by Khaleke Hudson),-1.960,-3.580
1,10:33,1,10,CLE 30,0,0,J.K. Dobbins up the middle for 3 yards (tackle by Michael Hall and Myles Garrett),3.580,3.440
1,9:56,2,7,CLE 27,0,0,Justin Herbert pass complete short left to Ladd McConkey for no gain (tackle by Greg Newsome and Mohamoud Diabate). Penalty on Joe Alt: Offensive Holding 10 yards (accepted) (no play),3.440,2.090
1,9:32,2,17,CLE 37,0,0,Justin Herbert pass complete short left to Ladd McConkey for 5 yards (tackle by Martin Emerson),2.090,2.080
1,8:50,,,,,,Timeout #1 by Los Angeles Chargers,,
1,8:50,3,12,CLE 32,0,0,Penalty on Ogbonnia Okoronkwo: Neutral Zone Infraction 5 yards (accepted) (no play),2.080,2.740
1,8:50,3,7,CLE 27,0,0,Justin Herbert pass complete short middle to Ladd McConkey for 10 yards (tackle by Grant Delpit),2.740,4.440
1,8:13,1,10,CLE 17,0,0,J.K. Dobbins left end for -3 yards (tackle by Ogbonnia Okoronkwo),4.440,3.490
1,7:31,2,13,CLE 20,0,0,Justin Herbert sacked by and Shelby Harris for -8 yards and Dalvin Tomlinson for -8 yards,3.490,1.750
1,6:54,3,21,CLE 28,6,0,Justin Herbert pass complete deep right to Josh Palmer for 28 yards touchdown,1.750,7.000
1,6:49,,,CLE 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
1,6:49,,,LAC 35,7,0,Cameron Dicker kicks off 63 yards returned by Pierre Strong for 23 yards (tackle by Nick Niemann and AJ Finley),0.000,0.610
1,6:44,1,10,CLE 25,7,0,Jameis Winston pass complete short left to Jerry Jeudy for 10 yards,0.610,1.270
1,6:11,1,10,CLE 35,7,0,Nick Chubb up the middle for no gain (tackle by Denzel Perryman and Scott Matlock),1.270,0.720
1,5:33,2,10,CLE 35,7,0,Jameis Winston pass incomplete short right intended for David Njoku,0.720,0.040
1,5:28,3,10,CLE 35,7,0,Jameis Winston pass incomplete short middle intended for Cedric Tillman (defended by Daiyan Henley),0.040,-1.040
1,5:24,4,10,CLE 35,7,0,Corey Bojorquez punts 60 yards out of bounds,-1.040,0.380
