Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Seahawks to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Joshua Karty kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SEA 30,0,0,Kenneth Walker right guard for 4 yards (tackle by Bobby Brown and Jared Verse),0.940,0.930
1,14:38,2,6,SEA 34,0,0,Geno Smith pass complete short middle to Kenneth Walker for 18 yards (tackle by Kamren Curl),0.930,2.390
1,14:12,1,10,LAR 48,0,0,Kenneth Walker right guard for 3 yards (tackle by Kobie Turner and Jaylen McCollough),2.390,2.250
1,13:31,2,7,LAR 45,0,0,Kenneth Walker up the middle for 6 yards (tackle by Kobie Turner),2.250,2.340
1,13:10,3,1,LAR 39,0,0,Kenneth Walker left guard for no gain (tackle by Byron Young and Braden Fiske),2.340,0.660
1,12:40,4,1,LAR 39,0,0,Kenneth Walker left end for 2 yards (tackle by Omar Speights),0.660,3.120
1,12:01,1,10,LAR 37,0,0,Geno Smith pass complete short left to Zach Charbonnet for 1 yard (tackle by Kamren Curl),3.120,2.710
1,11:24,2,9,LAR 36,0,0,Geno Smith sacked by and Tyler Davis for -4 yards and Michael Hoecht for -4 yards,2.710,1.490
1,10:42,3,13,LAR 40,0,0,Geno Smith pass incomplete short right intended for Tyler Lockett,1.490,0.590
1,10:38,4,13,LAR 40,0,0,Michael Dickson punts 29 yards fair catch by Xavier Smith at LA-11,0.590,0.370
1,10:32,1,10,LAR 11,0,0,Matthew Stafford pass complete short middle to Cooper Kupp for 7 yards (tackle by Ernest Jones),-0.370,0.000
1,10:09,2,3,LAR 18,0,0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.000,-0.600
1,10:05,3,3,LAR 18,0,0,Matthew Stafford pass incomplete short middle intended for Demarcus Robinson,-0.600,-2.240
1,10:01,4,3,LAR 18,0,0,Ty Zentner punts 53 yards returned by Dee Williams for 11 yards (tackle by Xavier Smith),-2.240,-1.600
1,9:49,1,10,SEA 40,0,0,Geno Smith aborted snap recovered by Kenneth Walker at SEA-22 and returned for -3 yards (tackle by Christian Rozeboom),1.600,-1.850
1,9:07,2,31,SEA 19,0,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 22 yards (tackle by Cobie Durant),-1.850,0.500
1,8:37,3,9,SEA 41,0,0,Geno Smith pass short middle intended for Jaxon Smith-Njigba is intercepted by Jaylen McCollough at 50 and returned for no gain (tackle by Jaxon Smith-Njigba),0.500,-2.260
1,8:31,1,10,SEA 50,0,0,Kyren Williams left end for 2 yards (tackle by Josh Jobe and Byron Murphy),2.260,1.980
1,7:53,2,8,SEA 48,0,0,Kyren Williams left guard for 1 yard (tackle by Devon Witherspoon),1.980,1.420
1,7:15,3,7,SEA 47,0,0,Matthew Stafford pass complete deep right to Demarcus Robinson for 18 yards (tackle by Coby Bryant),1.420,3.640
1,6:37,1,10,SEA 29,0,0,Kyren Williams right end for no gain (tackle by Julian Love). Penalty on Hunter Long: Offensive Holding 10 yards (accepted) (no play),3.640,2.980
1,6:11,1,20,SEA 39,0,0,Kyren Williams up the middle for 1 yard (tackle by Devon Witherspoon and Jarran Reed),2.980,1.890
1,5:47,2,19,SEA 38,0,0,Matthew Stafford pass incomplete deep right intended for Puka Nacua,1.890,1.220
1,5:41,3,19,SEA 38,0,0,Matthew Stafford pass incomplete short right intended for Tyler Johnson,1.220,0.720
1,5:38,4,19,SEA 38,0,0,Ty Zentner punts 25 yards fair catch by Dee Williams at SEA-13,0.720,0.320
1,5:31,1,10,SEA 13,0,0,Kenneth Walker right guard for 6 yards (tackle by Quentin Lake and Tyler Davis),-0.320,0.030
1,5:08,2,4,SEA 19,0,0,Penalty on Jared Verse: Neutral Zone Infraction 5 yards (accepted) (no play),0.030,0.540
1,4:52,1,10,SEA 24,0,0,Kenneth Walker right guard for 1 yard (tackle by Darious Williams),0.540,0.130
1,4:28,2,9,SEA 25,0,0,Geno Smith sacked by Byron Young for no gain. Geno Smith fumbles (forced by Byron Young) recovered by Charles Cross at SEA-9. Penalty on Kobie Turner: Defensive Offside 5 yards (accepted) (no play),0.130,0.810
1,4:18,2,4,SEA 30,0,0,Kenneth Walker right end for 1 yard (tackle by Darious Williams),0.810,0.230
1,3:42,3,3,SEA 31,0,0,Zach Charbonnet right end for 2 yards (tackle by Christian Rozeboom),0.230,-1.180
1,3:01,4,1,SEA 33,0,0,Michael Dickson punts 50 yards returned by Xavier Smith for 4 yards (tackle by Dee Williams),-1.180,-0.340
1,2:53,1,10,LAR 21,0,0,Blake Corum right guard for -1 yards (tackle by Roy Robertson-Harris),0.340,-0.340
1,2:12,2,11,LAR 20,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Julian Love and Derick Hall),-0.340,-0.230
1,1:29,3,5,LAR 26,0,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,-0.230,-1.630
1,1:24,4,5,LAR 26,0,0,Ty Zentner punts 36 yards out of bounds,-1.630,-1.470
1,1:18,1,10,SEA 38,0,0,Kenneth Walker right tackle for 2 yards (tackle by Christian Rozeboom and Byron Young),1.470,1.190
