Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Eddy Pineiro kicks off 67 yards returned by Jermaine Jackson for 24 yards (tackle by Raheem Blackshear),0.000,0.410
1,14:55,1,10,NOR 22,0,0,Alvin Kamara right end for 20 yards (tackle by Dane Jackson and Demani Richardson),0.410,1.730
1,14:20,1,10,NOR 42,0,0,Taysom Hill right tackle for 5 yards (tackle by LaBryan Ray),1.730,1.860
1,13:48,2,5,NOR 47,0,0,Derek Carr pass complete short left to Chris Olave for 13 yards (tackle by Michael Jackson),1.860,2.920
1,13:27,1,10,CAR 40,0,0,Derek Carr pass complete short right to Alvin Kamara for 10 yards (tackle by Josey Jewell),2.920,3.580
1,12:52,1,10,CAR 30,0,0,Alvin Kamara left end for 5 yards (tackle by Trevin Wallace),3.580,3.710
1,12:24,2,5,CAR 25,0,0,Alvin Kamara right end for 8 yards (tackle by A'Shawn Robinson and Trevin Wallace),3.710,4.440
1,11:48,1,10,CAR 17,0,0,Alvin Kamara right end for 6 yards (tackle by Cam Gill and LaBryan Ray),4.440,4.890
1,11:04,2,4,CAR 11,0,0,Derek Carr pass incomplete short middle,4.890,4.100
1,10:58,3,4,CAR 11,0,0,Derek Carr pass incomplete short right intended for Foster Moreau,4.100,2.770
1,10:54,4,4,CAR 11,3,0,Blake Grupe 29 yard field goal good,2.770,3.000
1,10:51,,,NOR 35,3,0,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
1,10:51,1,10,CAR 30,3,0,Bryce Young pass complete short right to David Moore for 9 yards (tackle by Alontae Taylor),0.940,1.610
1,10:13,2,1,CAR 39,3,0,Xavier Legette left end for 6 yards (tackle by Pete Werner),1.610,1.930
1,9:40,1,10,CAR 45,3,0,Bryce Young pass incomplete short middle intended for Jonathan Mingo (defended by Alontae Taylor),1.930,1.380
1,9:32,2,10,CAR 45,3,0,Chuba Hubbard left tackle for 5 yards (tackle by Pete Werner and Alontae Taylor),1.380,1.360
1,8:49,3,5,CAR 50,3,0,Bryce Young pass complete short right to Miles Sanders for -7 yards (tackle by Willie Gay). Penalty on Taylor Moton: Illegal Formation 5 yards (declined),1.360,-0.520
1,8:32,4,12,CAR 43,3,0,Johnny Hekker punts 44 yards fair catch by Jermaine Jackson at NO-13,-0.520,0.320
1,8:15,1,10,NOR 13,3,0,Alvin Kamara up the middle for 9 yards (tackle by Demani Richardson),-0.320,0.490
1,7:49,2,1,NOR 22,3,0,Alvin Kamara right end for 2 yards (tackle by LaBryan Ray and Jadeveon Clowney),0.490,0.540
1,7:10,1,10,NOR 24,3,0,Derek Carr pass incomplete deep right intended for Chris Olave. Penalty on Xavier Woods: Unnecessary Roughness / Defense 15 yards (accepted) (no play),0.540,1.530
1,7:02,1,10,NOR 39,3,0,Alvin Kamara right guard for 5 yards (tackle by Josey Jewell and Michael Jackson),1.530,1.660
