Quarter,Time,Down,ToGo,Location,NWE,TEN,Detail,EPB,EPA
,,,,,,,Titans won the coin toss Titans to receive the opening kickoff.,,
1,15:00,,,NWE 35,0,0,Joey Slye kicks off 65 yards touchback.. Penalty on Justin Hardee: Illegal Formation 5 yards (accepted),0.000,0.610
1,15:00,1,10,TEN 25,0,0,Tony Pollard up the middle for 1 yard (tackle by Anfernee Jennings),0.610,0.200
1,14:25,2,9,TEN 26,0,0,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 10 yards (tackle by Jonathan Jones),0.200,1.330
1,13:49,1,10,TEN 36,0,0,Tony Pollard left tackle for 3 yards (tackle by Jonathan Jones),1.330,1.200
1,13:13,2,7,TEN 39,0,0,Jha'Quan Jackson left end for -5 yards (tackle by Jahlani Tavai),1.200,-0.160
1,12:33,3,12,TEN 34,0,0,Mason Rudolph scrambles left tackle for 13 yards (tackle by Marte Mapu),-0.160,2.060
1,11:46,1,10,TEN 47,0,0,Mason Rudolph pass complete short right to Josh Whyle for 12 yards (tackle by Jaylinn Hawkins and Marco Wilson),2.060,2.850
1,11:11,1,10,NWE 41,0,0,Tony Pollard left end for 32 yards (tackle by Jaylinn Hawkins),2.850,5.140
1,10:24,1,9,NWE 9,0,6,Mason Rudolph pass complete short left to Nick Vannett for 9 yards touchdown,5.140,7.000
1,10:18,,,NWE 15,0,7,Nick Folk kicks extra point good,0.000,0.000
1,10:18,,,TEN 35,0,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,10:18,1,10,NWE 30,0,7,Rhamondre Stevenson up the middle for 5 yards (tackle by Quandre Diggs and Amani Hooker),0.940,1.070
1,9:36,2,5,NWE 35,0,7,Drake Maye scrambles up the middle for 26 yards (tackle by Quandre Diggs),1.070,2.980
1,8:51,1,10,TEN 39,0,7,Rhamondre Stevenson left end for 1 yard (tackle by Kenneth Murray and Jeffery Simmons),2.980,2.580
1,8:15,2,9,TEN 38,0,7,Drake Maye pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Jeffery Simmons),2.580,2.410
1,7:29,3,5,TEN 34,0,7,Drake Maye sacked by Harold Landry for -4 yards. Penalty on Layden Robinson: Offensive Holding 10 yards (declined),2.410,0.720
1,7:08,4,9,TEN 38,0,7,Joey Slye 56 yard field goal no good,0.720,-1.990
1,7:03,1,10,TEN 46,0,7,Tony Pollard right end for 13 yards (tackle by Marte Mapu),1.990,2.850
1,6:23,1,10,NWE 41,0,7,Tony Pollard left end for 4 yards (tackle by Anfernee Jennings),2.850,2.850
1,5:43,2,6,NWE 37,0,7,Julius Chestnut up the middle for -1 yards (tackle by Davon Godchaux),2.850,2.020
1,5:02,3,7,NWE 38,0,7,Mason Rudolph pass incomplete deep right intended for Calvin Ridley (defended by Christian Gonzalez),2.020,0.720
1,4:57,4,7,NWE 38,0,7,Penalty on TEN: Delay of Game 4 yards (accepted) (no play),0.720,0.460
1,4:57,4,11,NWE 42,0,7,Ryan Stonehouse punts 42 yards touchback.,0.460,-0.280
1,4:51,1,10,NWE 20,0,7,Rhamondre Stevenson left end for 1 yard (tackle by Kenneth Murray and Jack Gibbens),0.280,-0.130
1,4:13,2,9,NWE 21,0,7,Drake Maye pass incomplete deep left intended for Kayshon Boutte,-0.130,-0.820
1,4:08,3,9,NWE 21,0,7,Penalty on Kendrick Bourne: False Start 5 yards (accepted) (no play),-0.820,-1.690
1,4:08,3,14,NWE 16,0,7,Drake Maye pass complete short left to Kendrick Bourne for 11 yards,-1.690,-1.570
1,3:29,4,3,NWE 27,0,7,Bryce Baringer punts 49 yards downed by Dell Pettus,-1.570,-0.540
1,3:18,1,10,TEN 24,0,7,Mason Rudolph pass complete short left to Nick Vannett for 24 yards (tackle by Dell Pettus and Jahlani Tavai),0.540,2.130
1,2:41,1,10,TEN 48,0,7,Tony Pollard right tackle for 3 yards (tackle by Daniel Ekuale),2.130,1.990
1,2:05,2,7,NWE 49,0,7,Mason Rudolph sacked by Deatrich Wise for -7 yards,1.990,0.370
1,1:26,3,14,TEN 44,0,7,Mason Rudolph pass incomplete short right,0.370,-0.460
1,1:23,4,14,TEN 44,0,7,Ryan Stonehouse punts 53 yards returned by Marcus Jones for 44 yards (tackle by Bryce Oliver),-0.460,-2.060
1,1:08,1,10,NWE 47,0,7,Rhamondre Stevenson up the middle for 1 yard (tackle by Sebastian Joseph-Day and James Lynch),2.060,1.650
1,0:33,2,9,NWE 48,0,7,Drake Maye pass complete short right to Jaheim Bell for 1 yard (tackle by Kenneth Murray and Harold Landry),1.650,1.090
2,15:00,3,8,NWE 49,0,7,Drake Maye pass short middle intended for Ja'Lynn Polk is intercepted by Amani Hooker at TEN-43 and returned for 17 yards (tackle by Michael Jordan),1.090,-2.920
2,14:51,1,10,NWE 40,0,7,Mason Rudolph pass incomplete deep right intended for Calvin Ridley (defended by Christian Gonzalez),2.920,2.370
2,14:45,2,10,NWE 40,0,7,Mason Rudolph pass complete deep middle to Calvin Ridley for 25 yards (tackle by Dell Pettus),2.370,4.580
2,14:03,1,10,NWE 15,0,7,Tony Pollard right end for no gain (tackle by Keion White). Penalty on Keion White: Horse Collar Tackle 8 yards (accepted) (no play),4.580,5.600
2,13:41,1,7,NWE 7,0,7,Tony Pollard up the middle for 4 yards (tackle by Daniel Ekuale and Keion White),5.600,5.530
2,12:57,2,3,NWE 3,0,7,Mason Rudolph pass incomplete short right,5.530,4.720
2,12:51,3,3,NWE 3,0,7,Mason Rudolph pass short right intended for Chigoziem Okonkwo is intercepted by Jahlani Tavai in end zone and returned for no gain,4.720,-0.280
2,12:45,1,10,NWE 20,0,7,Drake Maye pass complete short right to Austin Hooper for 8 yards (tackle by Jack Gibbens and Jaylen Harrell),0.280,0.810
2,11:58,2,2,NWE 28,0,7,Drake Maye pass complete short left to Demario Douglas for 1 yard (tackle by Quandre Diggs),0.810,0.230
2,11:24,3,1,NWE 29,0,7,Drake Maye pass complete short left to Rhamondre Stevenson for 12 yards (tackle by Jack Gibbens and Jeffery Simmons). Penalty on Jarvis Brownlee: Defensive Holding 5 yards (declined),0.230,1.660
2,10:59,1,10,NWE 41,0,7,Rhamondre Stevenson right tackle for no gain (tackle by T'Vondre Sweat),1.660,1.120
2,10:19,2,10,NWE 41,0,7,Drake Maye pass complete short middle to Hunter Henry for 11 yards (tackle by Jack Gibbens),1.120,2.390
2,9:44,1,10,TEN 48,0,7,Drake Maye scrambles right end for 13 yards (tackle by Jarvis Brownlee),2.390,3.250
2,9:02,1,10,TEN 35,0,7,Drake Maye pass complete short left to Demario Douglas for 2 yards (tackle by Mike Brown and Jack Gibbens). Penalty on Ja'Lynn Polk: Offensive Holding 10 yards (accepted),3.250,2.720
2,8:33,1,18,TEN 43,0,7,Drake Maye pass incomplete short right intended for Kayshon Boutte (defended by James Lynch),2.720,1.620
2,8:27,2,18,TEN 43,0,7,Drake Maye pass complete short right to Jamycal Hasty for -3 yards (tackle by Jack Gibbens),1.620,0.560
2,7:47,3,21,TEN 46,0,7,Drake Maye pass complete short middle to Hunter Henry for 12 yards (tackle by Amani Hooker),0.560,1.060
2,7:18,4,9,TEN 34,3,7,Joey Slye 52 yard field goal good,1.060,3.000
2,7:13,,,NWE 35,3,7,Joey Slye kicks off 65 yards returned by Jha'Quan Jackson for 23 yards (tackle by Isaiah Bolden and Marcellas Dial),0.000,0.480
2,7:08,1,10,TEN 23,3,7,Tony Pollard up the middle for 1 yard (tackle by Daniel Ekuale and Jahlani Tavai),0.480,0.070
2,6:28,2,9,TEN 24,3,7,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 8 yards (tackle by Christian Elliss and Dell Pettus),0.070,0.430
2,5:45,3,1,TEN 32,3,7,Mason Rudolph up the middle for 2 yards (tackle by Jahlani Tavai and Christian Elliss),0.430,1.200
2,5:09,1,10,TEN 34,3,7,Tony Pollard up the middle for 5 yards (tackle by Dell Pettus and Davon Godchaux),1.200,1.330
2,4:30,2,5,TEN 39,3,7,Mason Rudolph pass complete short middle to Jha'Quan Jackson for 8 yards (tackle by Jahlani Tavai),1.330,2.060
2,3:50,1,10,TEN 47,3,7,Julius Chestnut right guard for 3 yards (tackle by Jaquelin Roy and Jahlani Tavai),2.060,1.920
2,3:17,2,7,NWE 50,3,7,Tony Pollard left end for no gain (tackle by Daniel Ekuale). Penalty on JC Latham: Offensive Illegal Block Above the Waist 10 yards (accepted) (no play),1.920,0.570
2,2:43,2,17,TEN 40,3,7,Mason Rudolph pass complete short middle to Tony Pollard for 9 yards (tackle by Christian Elliss),0.570,1.090
2,2:00,3,8,TEN 49,3,7,Mason Rudolph pass incomplete deep left intended for Jha'Quan Jackson,1.090,-0.130
2,1:55,4,8,TEN 49,3,7,Ryan Stonehouse punts 36 yards out of bounds,-0.130,0.220
2,1:48,1,10,NWE 15,3,7,Drake Maye pass complete short left to Kendrick Bourne for 14 yards (tackle by Darrell Baker),-0.220,0.870
2,1:42,1,10,NWE 29,3,7,Drake Maye pass complete short left to Kendrick Bourne for 9 yards (tackle by Jarvis Brownlee),0.870,1.540
2,1:38,2,1,NWE 38,3,7,Jamycal Hasty up the middle for no gain (tackle by Harold Landry),1.540,0.830
2,0:52,3,1,NWE 38,3,7,Rhamondre Stevenson up the middle for -1 yards (tackle by Jack Gibbens and Kenneth Murray),0.830,-0.910
2,0:47,,,,,,Timeout #1 by Tennessee Titans,,
2,0:47,4,2,NWE 37,3,7,Bryce Baringer punts 15 yards out of bounds,-0.910,-2.130
2,0:41,1,10,TEN 48,3,7,Mason Rudolph pass incomplete short middle intended for Tony Pollard. Penalty on Dell Pettus: Defensive Holding 5 yards (accepted) (no play),2.130,2.460
