Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
,,,,,,,Packers won the coin toss Packers to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 54 yards returned by Keisean Nixon for 29 yards (tackle by Jack Campbell),0.000,1.600
1,14:56,1,10,GNB 40,0,0,Penalty on Keisean Nixon: Unnecessary Roughness / Offense 15 yards (accepted) (no play),1.600,0.610
1,14:56,1,10,GNB 25,0,0,Josh Jacobs right tackle for 9 yards (tackle by Brian Branch and Carlton Davis),0.610,1.280
1,14:17,2,1,GNB 34,0,0,Josh Jacobs right guard for 13 yards (tackle by Kerby Joseph),1.280,2.060
1,13:40,1,10,GNB 47,0,0,Jordan Love pass complete short left to Romeo Doubs for 6 yards (tackle by Terrion Arnold),2.060,2.330
1,13:02,2,4,DET 47,0,0,Josh Jacobs right end for 1 yard (tackle by Jack Campbell and Alim McNeill),2.330,1.750
1,12:16,3,3,DET 46,0,0,Jordan Love pass complete short right to Josh Jacobs for 2 yards (tackle by Jack Campbell and Carlton Davis),1.750,0.330
1,11:46,4,1,DET 44,0,0,Tucker Kraft up the middle for 2 yards (tackle by Levi Onwuzurike),0.330,2.790
1,11:04,1,10,DET 42,0,0,Penalty on Josh Jacobs: False Start 5 yards (accepted) (no play),2.790,2.460
1,10:46,1,15,DET 47,0,0,Jordan Love pass incomplete short right intended for Romeo Doubs,2.460,1.570
1,10:44,2,15,DET 47,0,0,Jordan Love pass complete deep right to Christian Watson for 19 yards (tackle by Carlton Davis),1.570,3.710
1,10:08,1,10,DET 28,0,0,Josh Jacobs right end for no gain (tackle by Levi Onwuzurike),3.710,3.170
1,9:25,2,10,DET 28,0,0,Josh Jacobs right tackle for 11 yards (tackle by Alex Anzalone),3.170,4.440
1,8:40,1,10,DET 17,0,0,Josh Jacobs left tackle for 1 yard (tackle by Brian Branch and Jack Campbell),4.440,4.000
1,7:58,2,9,DET 16,0,0,Chris Brooks left guard for 4 yards (tackle by Alim McNeill),4.000,3.880
1,7:13,3,5,DET 12,0,0,Jordan Love pass incomplete short middle intended for Chris Brooks,3.880,2.680
1,7:09,4,5,DET 12,0,3,Brandon McManus 30 yard field goal good,2.680,3.000
