Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Texans to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Riley Patterson kicks off 60 yards returned by Steven Sims for 21 yards (tackle by Brandin Echols and Chazz Surratt). Penalty on Jamal Hill: Offensive Holding 10 yards (accepted),0.000,-0.140
1,14:55,1,10,HOU 16,0,0,C.J. Stroud pass incomplete short left intended for Cade Stover (defended by D.J. Reed),-0.140,-0.660
1,14:51,2,10,HOU 16,0,0,Joe Mixon left end for no gain (tackle by Jamien Sherwood). Penalty on Quinnen Williams: Defensive Offside 5 yards (accepted) (no play),-0.660,0.150
1,14:41,2,5,HOU 21,0,0,C.J. Stroud pass incomplete short right intended for Robert Woods,0.150,-0.700
1,14:34,3,5,HOU 21,0,0,C.J. Stroud pass complete short middle to Tank Dell for 16 yards (tackle by Jalen Mills),-0.700,1.400
1,13:49,1,10,HOU 37,0,0,C.J. Stroud pass incomplete deep right,1.400,0.860
1,13:40,2,10,HOU 37,0,0,C.J. Stroud pass complete short left to Dalton Schultz for 6 yards (tackle by Quincy Williams),0.860,0.960
1,12:59,3,4,HOU 43,0,0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz,0.960,-0.520
1,12:52,4,4,HOU 43,0,0,Tommy Townsend punts 46 yards fair catch by Xavier Gipson at NYJ-11,-0.520,0.370
1,12:44,1,10,NYJ 11,0,0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,-0.370,-0.780
1,12:40,2,10,NYJ 11,0,0,Aaron Rodgers pass incomplete short middle intended for Breece Hall,-0.780,-1.420
1,12:37,3,10,NYJ 11,0,0,Aaron Rodgers sacked by Denico Autry for -9 yards,-1.420,-2.490
1,11:51,4,19,NYJ 2,0,0,Thomas Morstead punts 51 yards out of bounds,-2.490,-2.060
1,11:44,1,10,HOU 47,0,0,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),2.060,1.730
1,11:44,1,15,HOU 42,0,0,Joe Mixon right guard for 2 yards (tackle by Will McDonald and Javon Kinlaw),1.730,1.110
1,11:06,2,13,HOU 44,0,0,C.J. Stroud sacked by D.J. Reed for -8 yards,1.110,-0.620
1,10:21,3,21,HOU 36,0,0,C.J. Stroud pass incomplete deep middle intended for Tank Dell (defended by Jalen Mills),-0.620,-0.980
1,10:15,4,21,HOU 36,0,0,Tommy Townsend punts fair catch by Xavier Gipson at NYJ-13. Penalty on Irvin Charles: Roughing the Kicker 15 yards (accepted) (no play),-0.980,2.320
1,10:07,1,10,NYJ 49,0,0,Joe Mixon up the middle for 3 yards (tackle by Leonard Taylor),2.320,2.190
