Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Eagles to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,PHI 30,0,0,Jalen Hurts pass incomplete deep middle intended for A.J. Brown (defended by Ronald Darby),0.940,0.390
1,14:55,2,10,PHI 30,0,0,Saquon Barkley up the middle for 6 yards (tackle by Devin Lloyd and Tyler Lacy),0.390,0.500
1,14:17,3,4,PHI 36,0,0,Jalen Hurts pass complete short right to Grant Calcaterra for 4 yards (tackle by Devin Lloyd),0.500,1.600
1,13:46,1,10,PHI 40,0,0,Saquon Barkley right guard for 4 yards (tackle by Travon Walker),1.600,1.590
1,13:09,2,6,PHI 44,0,0,Saquon Barkley right end for 4 yards (tackle by Foyesade Oluokun),1.590,1.420
1,12:29,3,2,PHI 48,0,0,Kenneth Gainwell up the middle for 1 yard (tackle by Devin Lloyd and DaVon Hamilton),1.420,-0.130
1,11:43,4,1,PHI 49,0,0,Penalty on Jack Stoll: False Start 5 yards (accepted) (no play),-0.130,-0.460
1,11:21,4,6,PHI 44,0,0,Braden Mann punts 42 yards returned by Austin Trammell for 1 yard. Austin Trammell fumbles (forced by Sydney Brown) recovered by Kelee Ringo at JAC-20 (tackle by Yasir Abdullah),-0.460,4.240
1,11:10,1,10,JAX 20,0,0,Jalen Hurts pass complete short right to Ben VanSumeren for no gain (tackle by Foyesade Oluokun),4.240,3.690
1,10:28,2,10,JAX 20,0,6,Jalen Hurts pass complete deep right to Saquon Barkley for 20 yards touchdown,3.690,7.000
1,10:22,,,JAX 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,10:22,,,PHI 35,0,7,Braden Mann kicks off 65 yards touchback.,0.000,0.940
1,10:22,1,10,JAX 30,0,7,Trevor Lawrence pass incomplete deep right intended for Evan Engram (defended by Zack Baun),0.940,0.390
1,10:17,2,10,JAX 30,0,7,Travis Etienne left tackle for 3 yards (tackle by Zack Baun and Quinyon Mitchell),0.390,0.100
1,9:36,3,7,JAX 33,0,7,Trevor Lawrence pass complete short left to Parker Washington for 11 yards (tackle by Quinyon Mitchell),0.100,1.860
1,8:56,1,10,JAX 44,0,7,Trevor Lawrence pass complete short left to Travis Etienne for 3 yards (tackle by Zack Baun),1.860,1.720
1,8:11,2,7,JAX 47,0,7,Tank Bigsby right guard for 3 yards (tackle by Jordan Davis),1.720,1.420
1,7:29,3,4,JAX 50,0,7,Trevor Lawrence sacked by Josh Sweat for -7 yards,1.420,-0.520
1,6:43,4,11,JAX 43,0,7,Logan Cooke punts 46 yards out of bounds,-0.520,0.370
1,6:36,1,10,PHI 11,0,7,Saquon Barkley right guard for 2 yards (tackle by Tyler Lacy),-0.370,-0.630
1,6:00,2,8,PHI 13,0,7,Jalen Hurts sacked by Josh Hines-Allen for -4 yards,-0.630,-1.650
1,5:14,3,12,PHI 9,0,7,Penalty on Saquon Barkley: False Start 4 yards (accepted) (no play),-1.650,-2.120
1,4:55,3,16,PHI 5,0,7,Jalen Hurts pass complete short left to Grant Calcaterra for 6 yards (tackle by Jarrian Jones),-2.120,-2.490
1,4:17,4,10,PHI 11,0,7,Braden Mann punts 54 yards returned by Austin Trammell for 6 yards (tackle by Will Shipley),-2.490,-1.660
1,4:06,1,10,JAX 41,0,7,Travis Etienne right tackle for 5 yards (tackle by Zack Baun and Isaiah Rodgers),1.660,1.800
1,3:28,2,5,JAX 46,0,7,Trevor Lawrence pass incomplete short middle intended for Evan Engram (defended by Nakobe Dean),1.800,1.090
1,3:24,3,5,JAX 46,0,7,Trevor Lawrence pass incomplete short right intended for Evan Engram,1.090,-0.320
1,3:20,4,5,JAX 46,0,7,Logan Cooke punts 47 yards fair catch by Cooper DeJean at PHI-7,-0.320,0.380
1,3:13,1,10,PHI 7,0,7,Saquon Barkley left guard for 7 yards (tackle by Foyesade Oluokun),-0.380,-0.250
1,2:39,2,3,PHI 14,0,7,Saquon Barkley right end for no gain (tackle by Arik Armstead),-0.250,-0.600
1,1:55,3,3,PHI 14,0,7,Jalen Hurts pass complete short right to A.J. Brown for 20 yards (tackle by Andre Cisco),-0.600,1.200
1,1:32,1,10,PHI 34,0,7,Jalen Hurts pass complete short right to Grant Calcaterra for 7 yards (tackle by Ronald Darby),1.200,1.600
1,0:58,2,3,PHI 41,0,7,Saquon Barkley up the middle for 11 yards (tackle by Darnell Savage),1.600,2.390
1,0:32,1,10,JAX 48,0,7,Jalen Hurts right end for 6 yards (tackle by Arik Armstead),2.390,2.660
2,15:00,2,4,JAX 42,0,7,Saquon Barkley right end for -2 yards (tackle by Travon Walker),2.660,1.690
2,14:18,3,6,JAX 44,0,7,Jalen Hurts pass complete short left to Saquon Barkley for 14 yards (tackle by Tyson Campbell and Tyler Lacy),1.690,3.580
2,13:32,1,10,JAX 30,0,7,Kenneth Gainwell up the middle for 2 yards (tackle by Tyler Lacy),3.580,3.300
