Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA
,,,,,,,Bengals won the coin toss and deferred Raiders to receive the opening kickoff.,,
1,15:00,,,CIN 35,0,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LVR 30,0,0,Gardner Minshew pass incomplete deep left intended for Tre Tucker (defended by Cam Taylor-Britt),0.940,0.390
1,14:55,2,10,LVR 30,0,0,Gardner Minshew pass incomplete deep right intended for Tre Tucker,0.390,-0.300
1,14:50,3,10,LVR 30,0,0,Gardner Minshew pass incomplete deep right intended for Brock Bowers. Penalty on DJ Ivey: Defensive Pass Interference 16 yards (accepted) (no play),-0.300,1.990
1,14:43,1,10,LVR 46,0,0,Gardner Minshew pass complete short left to Brock Bowers for 9 yards (tackle by DJ Turner),1.990,2.670
1,14:00,2,1,CIN 45,0,0,Gardner Minshew pass complete deep right to Jakobi Meyers for 22 yards (tackle by Logan Wilson),2.670,4.040
1,13:23,1,10,CIN 23,0,0,Alexander Mattison up the middle for 7 yards (tackle by Sheldon Rankins),4.040,4.560
1,12:47,2,3,CIN 16,0,0,Alexander Mattison right guard for 4 yards (tackle by Akeem Davis-Gaither and Logan Wilson),4.560,4.780
1,12:12,1,10,CIN 12,0,0,Alexander Mattison left guard for 6 yards (tackle by Sam Hubbard and Vonn Bell),4.780,5.210
1,11:34,2,4,CIN 6,0,0,Zamir White left guard for 1 yard (tackle by Kris Jenkins and Mike Hilton),5.210,4.610
1,10:50,3,3,CIN 5,0,0,Alexander Mattison right tackle for 3 yards (tackle by Kris Jenkins and Geno Stone),4.610,6.740
1,9:56,1,2,CIN 2,0,0,Zamir White left guard for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Zamir White left guard for 1 yard (tackle by Kris Jenkins and Geno Stone),6.740,5.910
1,9:50,2,1,CIN 1,0,0,Penalty on B.J. Hill: Encroachment (accepted) (no play),5.910,5.910
1,9:38,2,1,CIN 1,6,0,Zamir White right guard for 1 yard touchdown,5.910,7.000
1,9:36,,,CIN 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,9:36,,,LVR 35,7,0,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,9:36,1,10,CIN 30,7,0,Chase Brown right guard for 5 yards (tackle by John Jenkins and Robert Spillane),0.940,1.070
1,9:04,2,5,CIN 35,7,0,Chase Brown left end for 5 yards (tackle by Jakorian Bennett),1.070,1.600
1,8:24,1,10,CIN 40,7,0,Joe Burrow pass complete short middle to Drew Sample for 5 yards (tackle by Divine Deablo),1.600,1.730
1,7:46,2,5,CIN 45,7,0,Joe Burrow pass complete short middle to Chase Brown for 13 yards (tackle by Divine Deablo and Robert Spillane),1.730,2.790
1,7:08,1,10,LVR 42,7,0,Chase Brown right tackle for 8 yards (tackle by Jack Jones),2.790,3.320
1,6:27,2,2,LVR 34,7,0,Joe Burrow pass complete short middle to Chase Brown for 7 yards (tackle by Jack Jones),3.320,3.780
1,5:42,1,10,LVR 27,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 4 yards (tackle by Jakorian Bennett),3.780,3.770
1,5:06,2,6,LVR 23,7,0,Chase Brown up the middle for 1 yard (tackle by Tre'von Moehrig and Maxx Crosby),3.770,3.200
1,4:23,3,5,LVR 22,7,0,Joe Burrow pass complete short left to Drew Sample for 2 yards (tackle by Tre'von Moehrig and Jakorian Bennett),3.200,2.220
1,3:39,4,3,LVR 20,7,0,Joe Burrow pass complete short middle to Tanner Hudson for 11 yards (tackle by Nate Hobbs),2.220,5.140
1,2:54,1,9,LVR 9,7,0,Chase Brown right tackle for 2 yards (tackle by Jonah Laulu),5.140,4.760
1,2:27,2,7,LVR 7,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Jakorian Bennett and Nate Hobbs),4.760,5.170
1,1:46,3,1,LVR 1,7,6,Joe Burrow pass complete short right to Chase Brown for 1 yard touchdown,5.170,7.000
1,1:39,,,LVR 15,7,7,Evan McPherson kicks extra point good,0.000,0.000
1,1:39,,,CIN 35,7,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,1:39,1,10,LVR 30,7,7,Zamir White right guard for 1 yard (tackle by Logan Wilson),0.940,0.530
1,1:20,2,9,LVR 31,7,7,Zamir White left tackle for 4 yards (tackle by Joseph Ossai),0.530,0.370
1,0:41,3,5,LVR 35,7,7,Gardner Minshew pass complete short left to Brock Bowers for 7 yards (tackle by Jordan Battle),0.370,1.730
2,15:00,1,10,LVR 42,7,7,Gardner Minshew pass complete short right to Harrison Bryant for 4 yards (tackle by Akeem Davis-Gaither and Cam Taylor-Britt),1.730,1.730
2,14:22,2,6,LVR 46,7,7,Zamir White left guard for 2 yards (tackle by Mike Hilton),1.730,1.290
2,13:40,3,4,LVR 48,7,7,Gardner Minshew pass incomplete deep left intended for Brock Bowers (defended by Jordan Battle),1.290,-0.190
2,13:35,4,4,LVR 48,7,7,AJ Cole punts 42 yards fair catch by Trenton Irwin at CIN-10,-0.190,0.380
2,13:29,1,10,CIN 10,7,7,Chase Brown right tackle for 7 yards (tackle by Isaiah Pola-Mao),-0.380,-0.090
2,13:02,2,3,CIN 17,7,7,Joe Burrow pass complete short right to Erick All for 18 yards (tackle by Isaiah Pola-Mao),-0.090,1.270
2,12:21,1,10,CIN 35,7,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Nate Hobbs),1.270,1.800
2,11:46,2,2,CIN 43,7,7,Chase Brown left end for 1 yard (tackle by Tyree Wilson and Isaiah Pola-Mao),1.800,1.220
2,11:01,3,1,CIN 44,7,7,Joe Burrow pass complete short left to Ja'Marr Chase for 2 yards (tackle by Tre'von Moehrig),1.220,1.990
2,10:29,1,10,CIN 46,7,7,Joe Burrow pass complete short right to Erick All for 6 yards (tackle by Nate Hobbs),1.990,2.260
2,9:56,2,4,LVR 48,7,7,Joe Burrow pass complete short left to Chase Brown for 12 yards (tackle by Matthew Butler),2.260,3.180
2,9:13,1,10,LVR 36,7,7,Chase Brown right tackle for 1 yard (tackle by K'Lavon Chaisson and Nate Hobbs),3.180,2.770
2,8:43,2,9,LVR 35,7,7,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Tre'von Moehrig),2.770,2.870
2,8:00,3,3,LVR 29,7,7,Joe Burrow pass complete short right to Mike Gesicki for 3 yards (tackle by Charles Snowden),2.870,3.840
2,7:20,1,10,LVR 26,7,7,Joe Burrow pass incomplete short right intended for Andrei Iosivas (defended by Maxx Crosby),3.840,3.300
2,7:16,2,10,LVR 26,7,7,Joe Burrow pass incomplete short middle intended for Trenton Irwin (defended by Isaiah Pola-Mao),3.300,2.610
2,7:11,,,,,,Timeout #1 by Las Vegas Raiders,,
2,7:11,3,10,LVR 26,7,7,Joe Burrow pass incomplete deep left intended for Mike Gesicki (defended by Decamerion Richardson),2.610,1.740
2,7:04,4,10,LVR 26,7,10,Evan McPherson 44 yard field goal good,1.740,3.000
2,7:00,,,CIN 35,7,10,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,7:00,1,10,LVR 30,7,10,Alexander Mattison left tackle for 1 yard (tackle by McKinnley Jackson),0.940,0.530
2,6:18,2,9,LVR 31,7,10,Gardner Minshew pass complete short left to Jakobi Meyers for 20 yards (tackle by DJ Turner),0.530,2.320
2,5:34,1,10,CIN 49,7,10,Gardner Minshew pass complete short middle to Jakobi Meyers for 23 yards (tackle by Geno Stone),2.320,3.840
2,4:55,1,10,CIN 26,7,10,Gardner Minshew pass complete short left to Jakobi Meyers for -2 yards (tackle by Vonn Bell),3.840,3.030
2,4:13,2,12,CIN 28,7,10,Gardner Minshew sacked by Trey Hendrickson for -7 yards,3.030,1.420
2,3:28,3,19,CIN 35,7,10,Alexander Mattison up the middle for 7 yards (tackle by Logan Wilson and Vonn Bell),1.420,1.590
2,3:03,4,12,CIN 28,10,10,Daniel Carlson 46 yard field goal good,1.590,3.000
2,2:58,,,LVR 35,10,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,2:58,1,10,CIN 30,10,10,Joe Burrow pass incomplete short right intended for Ja'Marr Chase. Penalty on Amarius Mims: Ineligible Downfield Pass 5 yards (accepted) (no play),0.940,0.610
2,2:54,1,15,CIN 25,10,10,Joe Burrow pass complete short middle to Mike Gesicki for 24 yards (tackle by Tre'von Moehrig and Isaiah Pola-Mao),0.610,2.190
2,2:17,1,10,CIN 49,10,10,Chase Brown up the middle for 4 yards (tackle by Robert Spillane and Tyree Wilson),2.190,2.190
2,2:00,2,6,LVR 47,10,10,Joe Burrow sacked by Maxx Crosby for no gain. Penalty on Maxx Crosby: Unnecessary Roughness / Defense 14 yards (accepted) . Penalty on Maxx Crosby: Defensive Offside 5 yards (declined) (no play),2.190,3.380
2,1:47,1,10,LVR 33,10,10,Chase Brown right tackle for 12 yards (tackle by Tre'von Moehrig),3.380,4.170
2,1:21,1,10,LVR 21,10,10,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Tre'von Moehrig),4.170,4.910
2,0:38,1,10,LVR 10,10,16,Joe Burrow pass complete short middle to Andrei Iosivas for 10 yards touchdown,4.910,7.000
2,0:32,,,LVR 15,10,17,Evan McPherson kicks extra point good,0.000,0.000
2,0:32,,,CIN 35,10,17,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,0:32,1,10,LVR 30,10,17,Gardner Minshew pass complete short middle to Jakobi Meyers for 17 yards (tackle by Geno Stone),0.940,2.060
2,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:27,1,10,LVR 47,10,17,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards (tackle by Mike Hilton and Jordan Battle),2.060,2.330
2,0:23,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:23,2,4,CIN 47,10,17,Gardner Minshew pass incomplete short right intended for Jakobi Meyers,2.330,1.620
2,0:20,3,4,CIN 47,10,17,Gardner Minshew pass incomplete short right,1.620,0.130
2,0:17,4,4,CIN 47,10,17,Penalty on AJ Cole: Delay of Game 5 yards (accepted) (no play),0.130,-0.190
2,0:17,4,9,LVR 48,10,17,AJ Cole punts 48 yards. Penalty on Josh Newton: Defensive Holding 2 yards (accepted),-0.190,0.380
2,0:05,1,10,CIN 2,10,17,Joe Burrow kneels for -1 yards,-0.380,-0.850
3,15:00,,,LVR 35,10,17,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CIN 30,10,17,Joe Burrow scrambles right end for 10 yards (tackle by Darnay Holmes and Tre'von Moehrig),0.940,1.600
