Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA
,,,,,,,Buccaneers won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,TAM 35,0,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,KAN 30,0,0,Kareem Hunt up the middle for 5 yards (tackle by K.J. Britt and Vita Vea),0.940,1.070
1,14:32,2,5,KAN 35,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Zyon McCollum),1.070,0.890
1,13:57,3,1,KAN 39,0,0,Kareem Hunt right guard for 1 yard (tackle by William Gholston),0.890,1.600
1,13:20,1,10,KAN 40,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by K.J. Britt),1.600,2.320
1,12:42,1,10,TAM 49,0,0,Kareem Hunt left end for 2 yards (tackle by Tykee Smith),2.320,2.050
1,12:05,2,8,TAM 47,0,0,Carson Steele up the middle for 5 yards (tackle by Jordan Whitehead),2.050,2.020
1,11:29,3,3,TAM 42,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Jordan Whitehead),2.020,3.380
1,10:47,1,10,TAM 33,0,0,Patrick Mahomes pass complete deep left to Xavier Worthy for 32 yards Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Patrick Mahomes pass incomplete deep left intended for Xavier Worthy,3.380,2.840
1,10:41,2,10,TAM 33,0,0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 1 yard (tackle by Zyon McCollum),2.840,2.280
1,10:06,3,9,TAM 32,0,0,Patrick Mahomes sacked by Vita Vea for -9 yards,2.280,0.530
1,9:24,4,18,TAM 41,0,0,Matt Araiza punts 35 yards fair catch by Trey Palmer at TB-6,0.530,0.380
1,9:16,1,10,TAM 6,0,0,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Joshua Williams),-0.380,-0.070
1,8:37,2,1,TAM 15,0,0,Baker Mayfield pass complete short right to Rachaad White for 11 yards (tackle by Felix Anudike-Uzomah),-0.070,0.670
1,7:53,1,10,TAM 26,0,0,Bucky Irving up the middle for 3 yards (tackle by George Karlaftis),0.670,0.540
1,7:13,2,7,TAM 29,0,0,Baker Mayfield pass incomplete deep right intended for Trey Palmer (defended by Justin Reid),0.540,-0.160
1,7:08,3,7,TAM 29,0,0,Baker Mayfield pass incomplete short left intended for Cade Otton (defended by George Karlaftis),-0.160,-1.440
1,7:04,4,7,TAM 29,0,0,Trenton Gill punts 56 yards returned by Mecole Hardman for 30 yards (tackle by J.J. Russell),-1.440,-1.930
1,6:50,1,10,KAN 45,0,0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 8 yards (tackle by Tykee Smith),1.930,2.460
1,6:15,2,2,TAM 47,0,0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 17 yards (tackle by Zyon McCollum and Antoine Winfield),2.460,3.580
1,5:40,1,10,TAM 30,0,0,Kareem Hunt up the middle for 3 yards (tackle by YaYa Diaby),3.580,3.440
1,5:07,2,7,TAM 27,0,0,Patrick Mahomes scrambles right end for 7 yards (tackle by J.J. Russell),3.440,4.240
1,4:27,1,10,TAM 20,0,0,Xavier Worthy right end for -10 yards (tackle by YaYa Diaby),4.240,2.340
1,3:45,2,20,TAM 30,0,0,Patrick Mahomes pass complete short middle to DeAndre Hopkins for 4 yards (tackle by Lavonte David),2.340,2.210
1,3:06,3,16,TAM 26,0,0,Patrick Mahomes pass complete short right to Samaje Perine for 4 yards (tackle by Lavonte David and Vi Jones),2.210,1.990
1,2:20,4,12,TAM 22,0,3,Harrison Butker 40 yard field goal good,1.990,3.000
1,2:16,,,KAN 35,0,3,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,2:16,1,10,TAM 30,0,3,Bucky Irving left end for no gain (tackle by Justin Reid and Malik Herring),0.940,0.390
1,1:33,2,10,TAM 30,0,3,Bucky Irving left guard for 4 yards (tackle by George Karlaftis and Drue Tranquill),0.390,0.230
1,0:54,3,6,TAM 34,0,3,Baker Mayfield sacked by George Karlaftis for no gain. Penalty on Trent McDuffie: Defensive Holding 5 yards (accepted) (no play),0.230,1.530
1,0:26,1,10,TAM 39,0,3,Rachaad White right guard for 3 yards (tackle by Nick Bolton),1.530,1.390
2,15:00,2,7,TAM 42,0,3,Penalty on Baker Mayfield: Delay of Game 5 yards (accepted) (no play),1.390,0.720
2,15:00,2,12,TAM 37,0,3,Baker Mayfield pass complete short right to Cade Otton for 11 yards (tackle by Drue Tranquill),0.720,1.490
2,14:24,3,1,TAM 48,0,3,Sterling Shepard right end for 19 yards (tackle by Bryan Cook),1.490,3.380
2,13:54,1,10,KAN 33,0,3,Baker Mayfield pass complete short middle to Bucky Irving for 4 yards (tackle by Trent McDuffie and Felix Anudike-Uzomah),3.380,3.380
2,13:13,2,6,KAN 29,0,3,Bucky Irving up the middle for 8 yards (tackle by Nick Bolton and Bryan Cook),3.380,4.170
2,12:30,1,10,KAN 21,0,3,Baker Mayfield pass complete short left to Cade Otton for 2 yards (tackle by Bryan Cook),4.170,3.900
2,11:48,2,8,KAN 19,0,3,Baker Mayfield pass complete short left to Bucky Irving for -1 yards (tackle by Justin Reid),3.900,3.070
2,11:08,3,9,KAN 20,0,3,Baker Mayfield pass complete short right to Sterling Shepard for 13 yards (tackle by Bryan Cook),3.070,5.600
2,10:28,1,7,KAN 7,6,3,Rachaad White left end for 7 yards touchdown,5.600,7.000
2,10:23,,,KAN 15,7,3,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:23,,,TAM 35,7,3,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,10:23,1,10,KAN 30,7,3,Patrick Mahomes pass complete short middle to Travis Kelce for -1 yards (tackle by Zyon McCollum),0.940,0.260
2,9:49,2,11,KAN 29,7,3,Patrick Mahomes pass complete short left to Justin Watson for 12 yards (tackle by Josh Hayes),0.260,1.660
2,9:15,1,10,KAN 41,7,3,Kareem Hunt left end for 3 yards (tackle by Vita Vea),1.660,1.530
2,8:40,2,7,KAN 44,7,3,Patrick Mahomes sacked by Vita Vea for -3 yards,1.530,0.430
2,8:18,3,10,KAN 41,7,3,Patrick Mahomes pass complete short middle to Justin Watson for 19 yards (tackle by Antoine Winfield),0.430,2.920
2,7:40,1,10,TAM 40,7,3,Patrick Mahomes pass complete short left to Travis Kelce for 2 yards (tackle by Tykee Smith),2.920,2.640
2,6:59,2,8,TAM 38,7,3,Xavier Worthy left end for no gain (tackle by Lavonte David),2.640,1.950
2,6:18,3,8,TAM 38,7,3,Patrick Mahomes pass complete deep left to DeAndre Hopkins for 35 yards (tackle by Josh Hayes),1.950,6.510
2,5:31,1,3,TAM 3,7,3,Kareem Hunt right guard for no gain (tackle by Jordan Whitehead and Anthony Nelson),6.510,5.530
2,4:47,2,3,TAM 3,7,3,Kareem Hunt right guard for 2 yards (tackle by K.J. Britt),5.530,5.170
2,4:09,3,1,TAM 1,7,9,Patrick Mahomes pass complete short middle to DeAndre Hopkins for 1 yard touchdown,5.170,7.000
2,4:05,,,TAM 15,7,10,Harrison Butker kicks extra point good,0.000,0.000
2,4:05,,,KAN 35,7,10,Harrison Butker kicks off 65 yards touchback.,0.000,0.280
2,4:05,1,10,TAM 20,7,10,Bucky Irving right tackle for 3 yards (tackle by Chris Jones),0.280,0.140
2,3:24,2,7,TAM 23,7,10,Baker Mayfield sacked by George Karlaftis for -3 yards,0.140,-0.960
2,2:43,3,10,TAM 20,7,10,Baker Mayfield pass complete short left to Rachaad White for 6 yards (tackle by Josh Uche),-0.960,-1.630
2,2:00,4,4,TAM 26,7,10,Trenton Gill punts 57 yards downed by Christian Izien,-1.630,0.060
2,1:47,1,10,KAN 17,7,10,Patrick Mahomes pass complete short middle to Samaje Perine for 11 yards (tackle by Lavonte David),-0.060,0.810
2,1:31,1,10,KAN 28,7,10,Patrick Mahomes pass incomplete short left intended for Xavier Worthy (defended by Josh Hayes),0.810,0.260
2,1:24,2,10,KAN 28,7,10,Patrick Mahomes pass incomplete short right,0.260,-0.430
2,1:18,3,10,KAN 28,7,10,Patrick Mahomes pass complete deep right to Travis Kelce for 20 yards (tackle by Tykee Smith),-0.430,2.190
2,1:10,,,,,,Timeout #1 by Kansas City Chiefs,,
2,1:10,1,10,KAN 49,7,10,Patrick Mahomes pass incomplete deep right intended for Justin Watson,2.190,1.650
2,1:03,2,10,KAN 49,7,10,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards. Travis Kelce fumbles (forced by Tykee Smith) recovered by Josh Hayes at TB-45,1.650,-1.930
2,0:55,1,10,TAM 45,7,10,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by Chamarri Conner),1.930,1.920
2,0:50,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:50,2,6,TAM 49,7,10,Baker Mayfield pass incomplete short left intended for Sterling Shepard,1.920,1.220
2,0:46,3,6,TAM 49,7,10,Baker Mayfield scrambles up the middle for 2 yards (tackle by Josh Uche). Penalty on Cody Mauch: Offensive Holding 10 yards (accepted),1.220,0.170
2,0:41,3,14,TAM 41,7,10,Baker Mayfield scrambles right end for 10 yards (tackle by Drue Tranquill and George Karlaftis),0.170,0.000
2,0:32,4,4,KAN 49,7,10,Trenton Gill punts 32 yards fair catch by Mecole Hardman at KC-17,0.000,0.060
